CC_Tem,CC_Speed,CC_Particle Size,CC_Inner Diameter,CC_Length,CC_PhaseA_W_per,CC_PhaseA_O_per,CC_PhaseA_FA_per,CC_PhaseA_TFA_per,CC_PhaseB_O_pKa,CC_PhaseB_O_per,CC_PhaseB_W_per,CC_PhaseB_FA_per,CC_PhaseB_TFA_per,CC_RT-initial,CC_RT-final,CC_time
40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
45,1.5,2,3,30,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,95,8
40,1.5,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,2
25,1,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,20
25,1,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,20
25,1,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,20
25,1,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,20
25,1,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,20
25,1,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,20
40,1,1.7,2.1,50,100,0,0,0,-4.3,100,0,0,0,3,95,1.5
40,1,1.7,2.1,50,100,0,0,0,-4.3,100,0,0,0,3,95,1.5
40,1,1.7,2.1,50,100,0,0,0,-4.3,100,0,0,0,3,95,1.5
40,1,1.7,2.1,50,100,0,0,0,-4.3,100,0,0,0,3,95,1.5
40,1,1.7,2.1,50,100,0,0,0,-4.3,100,0,0,0,3,95,1.5
40,1,1.7,2.1,50,100,0,0,0,-4.3,100,0,0,0,3,95,1.5
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,0.2,1.6,2,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,15,99,14
25,1,5,4.6,250,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,100,15
25,1,5,4.6,250,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,100,15
25,1,5,4.6,250,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,100,15
25,1,5,4.6,250,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,100,15
25,1,5,4.6,250,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,100,15
25,1,5,4.6,250,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,100,15
25,1,5,4.6,250,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,100,15
25,1,5,4.6,250,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,100,15
25,1,5,4.6,250,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,100,15
25,1,5,4.6,250,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,100,15
40,0.8,1.9,2.1,50,94.9,5,0.1,0,15.3,99.9,0,0.1,0,5,100,2.5
40,0.8,1.9,2.1,50,94.9,5,0.1,0,15.3,99.9,0,0.1,0,5,100,2.5
40,0.8,1.9,2.1,50,94.9,5,0.1,0,15.3,99.9,0,0.1,0,5,100,2.5
40,0.8,1.9,2.1,50,94.9,5,0.1,0,15.3,99.9,0,0.1,0,5,100,2.5
40,0.8,1.9,2.1,50,94.9,5,0.1,0,15.3,99.9,0,0.1,0,5,100,2.5
40,0.8,1.9,2.1,50,94.9,5,0.1,0,15.3,99.9,0,0.1,0,5,100,2.5
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
