apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
134.74524,0,0,3,5,8,0,27,0,114,3,11,62,40,193.88344,1.7007319,0,0,45,2,0,52,0,8,6,0,1,0.82920414,-2.6412971,-0.54947579,0.56783402,2.7647338,-2.7084715,-0.50616467,0.73474377,2.7039256,-2.3939724,-0.35933992,0.82810563,3.0025754,74.592766,17,0.25,27,120,4,68,6,19,0.27941176,89,0,44.241184,37.981377,28.317108,30.722521,29.69249,22.537807,14.465391,17.254492,5,0,0.85323209,31,0,-0.84286696,-0.38838851,0.047094952,3.0133502,-1.161559,-0.30826202,0.12692547,3.046433,-0.53029078,-0.21605732,0.20664826,3.2641475,17.665421,21.494522,15.858933,7.6207051,8.2239799,-12.244995,0,18.14316,24.343681,0.85331941,14,6.2353029,1.5177506,1.1442941,49.8923,22.865473,12.190083,41.378407,18.902958,10.055469,12.615715,14,3,0,3,7.5419998,-11.08741,24.389278,0,1,37,0,7,17,5,0,0,3.6377053,-3.6377053,0.074811898,0.097678252,304.61993,76.764481,76.506157,83.325798,25.899061,25.899061,0,36.034069,74.233757,18.842079,0,24.932074,46.383339,8.4061155,0.83597893,0.26043835,0.0994225,0.1640211,0.73956168,0.064598598,670.32629,208.83144,79.721527,131.51965,593.01447,51.798122,0.48387095,0.9375,0,0,0,0,1,0,0,0,1,0,801.84595,0,0,0,801.84595,0,16,0,7,0,0,0.48387095,7.9663601,72.406616,76.479118,82.03727,57.805416,28.616158,26.519651,11.412009,159.71823,102.30596,314.34567,23.86902,81.32077,111.11666,40.432297,58.846527,0.92957383,253.13069,76.338516,309.53107,177.07001,0.2206921,7.0874629,4.72645,11.572484,801.84595,997.98987,76.11068,0,0,11.365152,603.05975,97.743439,101.04276,903.93298,22510,106,332
146.27242,0,0,3,5,9,0,32,0,123,3,12,67,44,207.55753,1.6874596,0,0,49,1,0,56,0,9,6,0,2,0.7484017,-2.6412971,-0.5380798,0.56752914,2.7647333,-2.7084789,-0.50602531,0.66659147,2.7039335,-2.3939726,-0.3592689,0.85431087,3.0025852,82.145592,18,0.24324325,32,130,4,74,6,20,0.27027026,94,0,47.517204,41.09679,30.894459,33.584328,32.175652,24.772144,15.465391,18.49851,5,0,0.84277248,33,0,-0.84286696,-0.39042431,0.047081891,3.0319989,-1.161559,-0.30829024,0.12689728,3.0665667,-0.53029144,-0.21605732,0.20700805,3.2835326,19.767046,22.473351,16.823193,8.0254879,8.6287642,-13.365926,0,20.504023,26.547256,0.85332,14,6.2353005,1.5177488,1.1442968,53.296566,24.355839,12.682304,43.748917,19.930305,10.355361,13.013869,15,3,0,3,7.4980001,-11.93132,26.537788,0,1,42,0,8,18,5,0,0,3.8746631,-3.8746631,0.07023672,0.091704659,301.97806,101.65318,76.506157,103.08641,25.899061,25.899061,0,74.044197,44.65181,18.842079,0,24.932074,52.065914,8.4061155,0.84008396,0.25985023,0.099542744,0.15991604,0.74014974,0.060373299,720.7619,222.94218,85.404106,137.20222,635.02197,51.798122,0.4848485,0.94117647,0,0,0,0,1,0,0,0,1,0,857.96411,0,0,0,857.96411,0,17,0,8,0,0,0.46268657,8.7448797,72.406616,93.264648,82.03727,57.805416,31.372906,26.519651,7.9114027,179.6494,102.30596,339.80072,25.95252,81.32077,127.90219,40.432297,58.102669,5.4735498,268.51788,76.338516,334.98611,189.96001,0.20907174,7.2094536,4.8591642,11.794007,857.96411,1079.9843,81.793259,0,0,11.365152,653.49536,97.743439,106.72533,966.62897,28364,115,362
149.52557,0,0,3,5,12,0,27,0,129,3,15,69,45,220.38477,1.7084091,0,0,49,2,0,60,0,8,9,0,1,0.75674224,-2.6199865,-0.52455109,0.53586197,2.7647657,-2.7141364,-0.48737261,0.5569461,2.7028246,-2.382539,-0.3193354,0.73445702,3.0027061,89.086418,23,0.30666667,27,135,4,75,12,25,0.33333334,104,0,49.354069,42.250092,31.361078,33.714085,33.103172,24.686523,14.882058,17.665176,5,0,0.85822999,35,0,-0.8351984,-0.37892401,0.022511508,2.9906948,-1.1620724,-0.29628882,0.064573534,3.0103228,-0.52978194,-0.19913706,0.17563647,3.2382491,21.705593,26.037924,20.253315,7.0498762,7.6502132,-12.169703,0,18.175892,26.705912,0.85131705,14,6.2422109,1.5230876,1.1362119,56.721066,27.16732,14.89905,47.978489,22.921236,12.548112,15.938062,17,3,0,3,5.1142201,-10.91215,26.828341,0,1,37,0,7,23,5,0,0,4.725059,-4.725059,0.057595979,0.075681165,275.21149,114.63145,62.906204,235.97615,12.949531,25.899061,0,2.2085397,74.233757,18.842079,0,24.932074,46.383339,15.917384,0.86146289,0.20054825,0.095850624,0.13853711,0.79945177,0.042686492,784.00964,182.51717,87.232796,126.08139,727.57385,38.848595,0.48571429,0.94444442,0,0,0,0,1,0,0,0,1,0,910.09106,0,0,0,910.09106,0,18,0,7,0,0,0.50724638,7.1542802,72.406616,76.479118,115.03693,183.36296,31.372906,26.519651,11.412009,142.07504,45.700748,348.10049,26.20332,114.32043,111.11666,40.432297,62.032101,0.92957383,178.88228,201.89607,342.85709,204.75999,0.20188898,7.2288189,4.9496732,11.864399,910.09106,1104.084,86.125702,0,0,11.365152,716.7431,82.290146,111.05778,1008.038,33066,115,362
146.0632,0,0,4,6,11,0,27,0,125,4,15,68,43,215.64078,1.7251263,0,0,48,2,0,57,0,9,8,0,1,0.80956793,-2.6210074,-0.52983373,0.54951918,2.7655926,-2.7415147,-0.50300086,0.58274072,2.7027445,-2.3828135,-0.33414048,0.76963699,3.0036213,83.592796,21,0.28378379,27,131,5,74,9,24,0.32432431,99,0,48.646961,41.212086,30.231321,32.714085,32.586334,24.191837,14.649842,17.57099,5,0,0.86143798,32,0,-0.83782089,-0.38430905,0.051055271,3.0216744,-1.1630125,-0.30256584,0.064900361,3.0240459,-0.52978164,-0.21564382,0.19305076,3.2686155,21.37319,27.630692,19.544582,6.6484413,7.2487788,-12.004649,0,19.005468,26.344917,0.85131741,14,6.2422099,1.5230867,1.1362133,55.743607,26.471836,14.654521,45.99659,21.777817,12.03129,14.73096,17,4,0,3,4.5757399,-10.44641,26.397985,0,1,37,0,7,21,5,0,0,4.5574551,-4.5574551,0.059716541,0.078464404,229.99454,106.17294,78.714699,190.10023,12.949531,38.848595,0,33.825527,74.233757,18.842079,0,30.614649,59.95026,10.909872,0.82684094,0.25800645,0.11464047,0.17315906,0.74199355,0.058518592,731.88379,228.37614,101.47478,153.2729,656.78052,51.798122,0.5,1,0,0,0,0,1,0,0,0,1,0,885.15668,0,0,0,885.15668,0,16,0,7,0,0,0.58823532,6.2452798,79.41748,81.7379,127.89926,139.02377,31.372906,26.519651,11.412009,159.71823,64.569153,309.53107,25.767191,127.18276,100.11678,58.443047,56.788673,0.92957383,215.39388,162.81564,309.53107,215.39999,0.20435871,7.2094536,4.8127456,11.841828,885.15668,1083.7169,94.685112,0,0,17.047728,664.61725,95.239677,125.29976,991.01099,29707,113,358
153.05237,0,0,4,6,12,0,27,0,132,4,16,71,45,226.83359,1.7184362,0,0,50,2,0,61,0,9,9,0,1,0.76354516,-2.6210003,-0.52587032,0.54641211,2.7655926,-2.7390223,-0.49735326,0.55725402,2.7027445,-2.3828146,-0.31985083,0.74333614,3.0036213,89.88163,24,0.3116883,27,138,5,77,12,27,0.35064936,106,0,50.76828,43.03455,31.645535,34.1283,34.086334,25.269188,15.149842,18.07099,5,0,0.86048025,35,0,-0.83766454,-0.38396397,0.044488572,3.0131257,-1.1629895,-0.29810035,0.064573795,3.0124981,-0.52978164,-0.21529263,0.19305076,3.257473,22.736759,29.158342,21.072222,6.6250148,7.2253513,-12.129713,0,19.005468,27.433784,0.85131669,14,6.2422123,1.5230886,1.1362104,58.677685,28.572531,16.05237,48.828743,23.711756,13.296289,16.307257,18,4,0,3,4.2454801,-10.58905,27.53203,0,1,37,0,7,24,5,0,0,4.9058843,-4.9058843,0.055475309,0.072891645,229.99454,106.17294,78.714699,234.21718,12.949531,38.848595,0,33.825527,74.233757,18.842079,0,30.614649,59.95026,13.413628,0.83281773,0.24778441,0.11159161,0.16718227,0.75221562,0.055590667,776.00073,230.8799,103.97854,155.77666,700.89746,51.798122,0.48571429,0.94444442,0,0,0,0,1,0,0,0,1,0,931.7774,0,0,0,931.7774,0,18,0,7,0,0,0.6056338,6.2618799,79.41748,81.7379,138.89914,180.87628,31.372906,26.519651,11.412009,159.71823,64.569153,309.53107,26.849091,138.18265,100.11678,58.443047,56.788673,0.92957383,215.39388,204.66817,309.53107,224.63,0.1971401,7.2667866,4.947516,11.952392,931.7774,1131.4333,97.188866,0,0,17.047728,708.73419,95.239677,127.80352,1035.064,35492,116,370
149.79919,0,0,4,6,10,0,32,0,126,4,14,69,45,213.74068,1.6963545,0,0,50,1,0,57,0,10,6,0,2,0.83504367,-2.639137,-0.5291881,0.56725144,2.7656026,-2.7373781,-0.51725626,0.61634201,2.7027717,-2.3840194,-0.35743019,0.8223322,3.0036733,82.940796,18,0.23684211,32,133,5,76,5,21,0.27631578,96,0,49.094555,42.09679,31.394459,34.161678,33.0695,25.271475,15.649842,18.815006,5,0,0.84545338,28,0,-0.84627503,-0.39148596,0.058218397,3.0871363,-1.1642967,-0.31568587,0.079773106,3.1072268,-0.52978438,-0.21605732,0.19822708,3.3414369,20.796984,25.712326,17.833946,7.5863652,8.1894903,-13.315623,0,21.366619,27.279564,0.8532092,14,6.2356853,1.5180451,1.1438465,55.238228,25.227438,13.342102,44.61816,20.310322,10.717064,13.133466,16,4,0,3,5.8280001,-11.40858,27.217133,0,1,42,0,8,18,5,0,0,4.1018205,-4.1018205,0.066349916,0.087180309,258.96967,131.06163,119.31371,81.027939,12.949531,38.848595,0,71.835655,44.65181,18.842079,0,30.614649,65.632835,5.9023595,0.82498962,0.26997018,0.11612549,0.17501038,0.73002982,0.058884893,725.70251,237.47939,102.14984,153.94797,642.17108,51.798122,0.5,1,0,0,0,0,1,0,0,0,1,0,879.65045,0,0,0,879.65045,0,14,0,8,0,0,0.43478259,7.7708001,79.41748,98.52343,105.89948,55.318733,34.129654,26.519651,7.9114027,179.6494,102.30596,334.98611,26.610291,105.18298,116.90231,58.443047,56.044815,5.4735498,268.51788,79.110619,334.98611,209.83,0.20396087,7.2479277,4.6274848,11.924804,879.65045,1107.3336,95.360176,0,0,17.047728,658.43597,95.239677,125.97482,993.65497,27606,118,372
157.59038,0,0,4,6,12,0,32,0,134,4,16,73,47,229.43883,1.7122301,0,0,52,1,0,61,0,10,8,0,2,0.7625013,-2.6210511,-0.51783872,0.52829927,2.7655921,-2.7415204,-0.5029096,0.58284903,2.7027535,-2.3828154,-0.33411211,0.77855974,3.0036333,91.14563,22,0.27500001,32,141,5,80,9,25,0.3125,104,0,51.922981,44.327503,32.808674,35.575893,35.0695,26.426176,15.649842,18.815006,5,0,0.85117036,32,0,-0.83782655,-0.38634467,0.050922472,3.0528157,-1.1630129,-0.30287737,0.064900346,3.061378,-0.52978218,-0.21562327,0.19305076,3.3026588,23.474421,28.603525,20.501802,7.0549736,7.6553121,-13.126629,0,21.366293,28.548487,0.85131764,14,6.242209,1.5230861,1.1362144,59.130001,27.927979,15.071127,48.348629,22.769182,12.26238,15.080257,18,4,0,3,4.5317402,-11.29032,28.548429,0,1,42,0,8,22,5,0,0,4.7943587,-4.7943587,0.056765765,0.074587241,227.35266,131.06163,78.714699,209.86086,12.949531,38.848595,0,71.835655,44.65181,18.842079,0,30.614649,65.632835,10.909872,0.83112746,0.25761539,0.11384279,0.16887254,0.74238461,0.055029754,782.3194,242.48691,107.15736,158.95547,698.78796,51.798122,0.5,1,0,0,0,0,1,0,0,0,1,0,941.2749,0,0,0,941.2749,0,16,0,8,0,0,0.46575344,7.0237999,79.41748,98.52343,127.89926,139.02377,34.129654,26.519651,7.9114027,179.6494,64.569153,334.98611,27.850691,127.18276,116.90231,58.443047,56.044815,5.4735498,230.78105,162.81564,334.98611,228.28999,0.19451419,7.321928,4.8293219,12.062304,941.2749,1165.7113,100.36769,0,0,17.047728,715.05286,95.239677,130.98233,1053.707,35234,122,388
164.57954,0,0,4,6,13,0,32,0,141,4,17,76,49,240.7103,1.7071652,0,0,54,1,0,65,0,10,9,0,2,0.7193926,-2.6210439,-0.51376837,0.50397223,2.7655921,-2.7390287,-0.49730763,0.5573082,2.7027535,-2.3828166,-0.31979412,0.74779749,3.0036333,97.434456,25,0.30120483,32,148,5,83,12,28,0.33734939,111,0,54.0443,46.149963,34.222885,36.990105,36.5695,27.503525,16.149843,19.315006,5,0,0.85068107,35,0,-0.83767074,-0.38498181,0.044413049,3.0447161,-1.1629897,-0.29872248,0.064573802,3.0505347,-0.52978218,-0.21524917,0.19305076,3.2922349,24.83799,30.131174,22.02944,7.031548,7.6318846,-13.251693,0,21.366293,29.637354,0.85131681,14,6.2422118,1.5230882,1.1362109,62.05545,30.002192,16.426199,51.162586,24.669487,13.481838,16.6073,19,4,0,3,4.2014799,-11.43296,29.683702,0,1,42,0,8,25,5,0,0,5.1427879,-5.1427879,0.052919824,0.069533877,227.35266,131.06163,78.714699,253.9778,12.949531,38.848595,0,71.835655,44.65181,18.842079,0,30.614649,65.632835,13.413628,0.83656245,0.24799247,0.11100476,0.16343755,0.75200754,0.05243279,826.43634,244.99066,109.66111,161.45924,742.90491,51.798122,0.48571429,0.94444442,0,0,0,0,1,0,0,0,1,0,987.89557,0,0,0,987.89557,0,18,0,8,0,0,0.4868421,7.0404,79.41748,98.52343,138.89914,180.87628,34.129654,26.519651,7.9114027,179.6494,64.569153,334.98611,28.93259,138.18265,116.90231,58.443047,56.044815,5.4735498,230.78105,204.66817,334.98611,237.52,0.18803115,7.3750396,4.9614758,12.163222,987.89557,1213.4277,102.87144,0,0,17.047728,759.1698,95.239677,133.4861,1097.76,41718,125,400
164.57275,0,0,3,5,13,0,32,0,140,3,16,76,51,237.06619,1.6933299,0,0,55,1,0,64,0,9,9,0,2,0.62823111,-2.619978,-0.51575249,0.51476496,2.7646465,-2.7140429,-0.48576346,0.5137766,2.7026982,-2.3825049,-0.32642519,0.69911331,3.0026267,96.639252,26,0.31325302,32,147,4,83,14,28,0.33734939,110,1,53.881165,46.149963,34.722885,37.826969,36.675652,27.442301,16.318945,19.906757,5,0,0.84229904,42,0,-0.83519846,-0.38126886,0.03114116,2.9507864,-1.1620719,-0.29615206,0.062213164,2.9745533,-0.52977943,-0.18481904,0.19305076,3.2043462,24.064827,27.886425,22.117495,7.8111997,8.4115362,-13.739955,0,21.631767,29.625624,0.85131711,14,6.2422109,1.5230875,1.136212,62.05545,30.5217,16.638834,51.227802,25.129107,13.674187,16.938276,18,3,0,3,5.6172199,-12.58965,29.808714,0,1,43,0,8,26,5,0,0,5.0452781,-5.0452781,0.053940263,0.070877753,247.85303,101.65318,69.605759,255.73677,35.008007,25.899061,0,89.852692,60.460304,18.842079,0,30.614649,46.383339,15.917384,0.84584248,0.26264137,0.093117788,0.15415753,0.73735863,0.061039753,844.00378,262.07043,92.915375,153.82243,735.7558,60.907066,0.5,1,0,0,0,0,1,0,0,0,1,0,997.82623,0,0,0,997.82623,0,21,0,8,0,0,0.47368422,7.613688,61.406727,93.264648,126.03682,238.35037,34.129654,26.519651,7.9114027,179.6494,45.700748,334.98611,29.033319,125.32032,116.90231,40.432297,90.105965,5.4735498,211.91266,222.82233,334.98611,217.64999,0.18803115,7.3750396,5.2249217,12.122919,997.82623,1223.1333,91.808281,0,0,11.365152,798.79578,82.290146,116.74036,1094.756,47716,124,398
100.49252,0,0,3,5,11,0,17,0,89,3,14,48,29,144.40393,1.6225162,0,0,34,0,0,41,0,7,7,0,0,0.85672867,-2.734401,-0.56993306,0.60707152,2.676538,-2.7639377,-0.4918386,0.63596493,2.8104956,-2.476712,-0.37933087,0.75139827,2.9211242,59.447487,18,0.34615386,17,93,5,52,14,18,0.34615386,71,0,34.045029,27.098282,21.018297,22.777445,23.223255,16.484476,10.782528,12.599319,1,1,0.83126664,30,0,-0.85778493,-0.44975746,0.05973183,2.8448434,-1.1707945,-0.32896692,0.10628302,2.9028361,-0.53243595,-0.231703,0.21353398,3.0827861,18.210258,19.013008,12.612412,3.5122464,4.8517947,-8.1322651,0,14.410377,18.081079,-0.080038443,7.8919659,8.402977,1.8187627,5.1658807,39.213017,19.728624,11.009365,29.65192,14.824168,8.2363071,9.1576052,14,2,0,2,3.21053,-6.2632599,17.799515,0,1,27,0,5,18,4,0,0,3.1659448,-3.1659448,0.10244787,0.10430613,221.31892,125.69061,76.056587,6.6995511,0,51.798122,14.708499,0,13.159503,22.987961,5.6825762,5.6825762,67.834602,2.503756,0.76791704,0.19190118,0.12378775,0.23208298,0.80809885,0.10829523,471.5957,117.85098,76.020935,142.52756,496.27231,66.506622,0.5,1,0,0,0,0,1,0,0,0,1,0,614.12329,0,0,0,614.12329,0,15,0,5,0,0,0.16666667,3.8375001,29.010639,86.794823,51.706402,83.190643,81.143372,32.897186,0,128.15813,188.68405,23.683006,17.3459,119.31108,69.014107,43.395977,18.782122,5.513495,329.76828,86.586014,32.897186,176.92,0.26537687,6.7004399,4.7147365,10.798016,614.12329,743.94421,85.034561,0,0,5.6825762,429.76569,66.506622,117.85098,659.74396,13102,74,246
