AllPathsOfLength1,AllPathsOfLength2,AllPathsOfLength3,AllPathsOfLength4,AllPathsOfLength5,AllPathsOfLength6,AllSubgraphsOfLength1,AllSubgraphsOfLength2,AllSubgraphsOfLength3,AllSubgraphsOfLength4,AllSubgraphsOfLength5,AllSubgraphsOfLength6,UniqueSubgraphsOfLength1,UniqueSubgraphsOfLength2,UniqueSubgraphsOfLength3,UniqueSubgraphsOfLength4,UniqueSubgraphsOfLength5,UniqueSubgraphsOfLength6
68,98,132,180,228,283,68,98,156,272,491,896,15,32,70,149,300,577
74,107,146,199,247,308,74,107,172,301,537,967,16,35,83,173,336,625
75,106,141,192,240,295,75,106,166,288,518,941,15,32,73,157,318,613
74,105,139,189,239,294,74,105,164,283,509,926,14,30,68,145,298,583
77,108,142,192,242,297,77,108,167,286,512,929,14,30,68,145,298,584
76,110,149,204,254,315,76,110,176,308,551,993,15,32,78,166,331,627
80,114,153,208,258,319,80,114,180,312,555,997,15,33,80,169,334,631
83,117,156,211,261,322,83,117,183,315,558,1000,15,33,80,169,334,632
83,116,155,209,258,318,83,116,181,311,550,985,16,35,84,177,343,637
52,71,93,122,151,171,52,71,108,180,313,541,11,23,45,88,177,321
50,69,91,120,149,169,50,69,106,178,311,539,11,23,45,88,177,321
54,73,95,124,153,173,54,73,110,182,315,543,11,23,45,88,177,321
53,72,95,124,153,174,53,72,110,183,318,549,11,24,47,90,180,326
51,70,93,122,151,172,51,70,108,181,316,547,11,24,47,90,180,326
55,74,97,126,155,176,55,74,112,185,320,551,11,24,47,90,180,326
79,106,135,170,209,231,79,106,156,245,399,640,12,24,52,92,173,310
75,102,131,166,205,227,75,102,152,241,395,636,11,22,48,86,165,298
81,109,139,176,215,238,81,109,161,255,418,675,13,25,54,97,185,335
77,105,135,172,211,234,77,105,157,251,414,671,13,24,51,92,178,324
104,143,186,239,310,351,104,143,217,350,594,998,12,22,49,92,195,394
100,139,182,235,306,347,100,139,213,346,590,994,12,21,45,86,186,380
78,114,149,197,250,288,78,114,180,304,529,905,15,35,79,152,287,533
84,121,156,204,257,295,84,121,188,313,539,916,15,35,79,152,287,533
86,123,158,206,259,297,86,123,190,315,541,918,15,35,79,152,288,535
88,125,160,208,261,299,88,125,192,317,543,920,15,35,79,152,288,536
91,128,163,211,264,302,91,128,195,320,546,923,15,35,79,152,288,536
91,128,163,211,264,302,91,128,195,320,546,923,15,36,82,157,294,543
95,132,167,215,268,306,95,132,199,324,550,927,15,36,81,157,295,545
71,103,140,191,251,299,71,103,166,290,529,952,13,31,67,136,278,547
75,107,144,195,255,303,75,107,170,294,533,956,13,31,67,137,281,553
74,106,143,194,254,302,74,106,169,293,532,955,13,32,69,140,284,556
77,109,146,197,257,305,77,109,172,296,535,958,13,32,70,141,286,557
80,112,149,200,260,308,80,112,175,299,538,961,13,32,70,141,286,558
83,115,152,203,263,311,83,115,178,302,541,964,13,32,70,141,286,558
86,118,155,206,266,314,86,118,181,305,544,967,13,32,70,141,286,558
84,117,154,205,265,313,84,117,181,306,546,970,13,32,71,142,287,560
77,110,147,198,258,306,77,110,174,299,539,963,13,31,67,136,278,548
79,112,149,200,260,308,79,112,176,301,541,965,13,31,67,136,279,551
81,114,151,202,262,310,81,114,178,303,543,967,13,31,67,136,279,552
84,117,154,205,265,313,84,117,181,306,546,970,13,31,67,136,279,552
53,74,98,128,157,178,53,74,114,188,323,549,10,19,44,88,166,290
55,76,100,130,158,179,55,76,116,190,324,548,10,19,43,86,164,288
57,78,102,132,161,182,57,78,118,192,327,553,10,19,44,88,167,293
57,78,102,132,161,182,57,78,118,192,327,553,10,20,46,91,171,295
59,80,104,134,162,183,59,80,120,194,328,552,10,20,46,90,170,294
62,83,107,137,166,187,62,83,123,197,332,558,10,20,47,92,171,296
62,83,107,137,165,186,62,83,123,197,331,555,10,20,46,91,170,294
64,85,109,139,167,188,64,85,125,199,333,557,10,20,45,90,169,295
66,87,111,141,169,190,66,87,127,201,335,559,10,20,46,91,171,295
71,92,116,146,174,195,71,92,132,206,340,564,10,20,47,93,173,298
88,125,159,202,243,264,88,125,190,304,494,783,12,25,61,109,195,332
89,126,160,203,243,265,89,126,191,305,494,782,12,25,60,108,194,330
90,127,161,204,244,265,90,127,192,306,495,782,12,25,60,107,192,328
91,128,162,205,245,266,91,128,193,307,496,783,12,25,60,107,193,329
92,129,163,206,246,267,92,129,194,308,497,784,12,25,60,107,194,330
85,116,149,190,235,264,85,116,173,274,449,724,11,22,48,92,180,326
68,94,115,140,163,182,68,94,139,217,347,554,12,30,57,101,182,325
65,91,112,137,160,179,65,91,136,214,344,551,12,30,57,101,182,325
71,97,118,143,166,185,71,97,142,220,350,557,12,30,57,101,182,325
73,102,126,158,192,212,73,102,152,241,396,639,10,21,43,78,149,284
76,105,129,161,195,215,76,105,155,244,399,642,10,21,43,78,149,284
79,108,132,164,198,218,79,108,158,247,402,645,10,21,43,78,149,284
86,117,145,180,213,240,86,117,171,265,421,666,11,31,67,130,237,415
83,114,142,177,210,237,83,114,168,262,418,663,11,31,67,130,237,415
89,120,148,183,216,243,89,120,174,268,424,669,11,31,67,130,237,415
91,125,156,198,242,270,91,125,184,289,470,751,11,29,61,115,206,371
94,128,159,201,245,273,94,128,187,292,473,754,11,29,61,115,206,371
97,131,162,204,248,276,97,131,190,295,476,757,11,29,61,115,206,371
79,105,134,166,200,228,79,105,154,239,380,604,11,29,62,121,221,385
76,102,131,163,197,225,76,102,151,236,377,601,11,29,62,121,221,385
82,108,137,169,203,231,82,108,157,242,383,607,11,29,62,121,221,385
84,113,145,184,229,258,84,113,167,263,429,689,11,27,57,106,192,347
87,116,148,187,232,261,87,116,170,266,432,692,11,27,57,106,192,347
90,119,151,190,235,264,90,119,173,269,435,695,11,27,57,106,192,347
75,105,141,190,241,290,75,105,164,280,497,890,10,23,54,118,251,505
77,108,146,198,251,299,77,108,170,294,531,966,10,23,52,111,238,474
79,110,148,200,253,301,79,110,172,296,533,968,11,25,57,122,260,519
72,100,127,163,197,221,72,100,151,246,412,685,11,24,53,99,183,342
72,100,127,163,197,221,72,100,151,246,412,685,11,23,51,95,178,337
60,83,112,151,192,226,60,83,130,224,403,722,9,18,37,75,161,330
60,83,112,151,192,226,60,83,130,224,403,722,9,17,35,72,158,327
75,105,136,174,209,234,75,105,162,268,453,751,12,24,55,103,195,375
66,94,121,157,191,215,66,94,145,240,406,679,11,23,51,95,178,336
72,100,127,163,197,221,72,100,151,246,412,685,11,23,51,95,178,337
78,106,139,180,227,264,78,106,161,264,451,770,9,19,41,82,170,348
78,106,139,180,227,264,78,106,161,264,451,770,9,18,39,77,163,339
86,126,169,218,275,319,86,126,203,341,583,978,13,27,61,117,225,430
82,110,144,183,229,257,82,110,165,265,446,740,9,19,41,80,159,293
83,112,148,186,233,264,83,112,170,274,463,774,9,19,41,80,159,297
57,79,100,126,154,168,57,79,117,182,289,445,11,27,58,105,178,295
57,79,100,126,154,168,57,79,117,182,289,445,11,27,55,101,176,293
63,90,119,157,197,224,63,90,140,233,400,673,11,26,57,114,211,374
61,86,112,142,175,197,61,86,131,208,334,521,9,24,52,96,171,291
61,86,112,142,175,197,61,86,131,208,334,521,9,24,50,95,170,284
79,112,139,178,217,237,79,112,168,269,446,721,11,25,57,108,200,368
53,77,104,141,184,229,53,77,123,213,386,707,13,27,56,118,241,467
55,79,106,143,186,231,55,79,125,215,388,709,13,27,56,118,241,468
57,81,108,145,188,233,57,81,127,217,390,711,13,27,56,118,242,470
59,83,110,147,190,235,59,83,129,219,392,713,13,27,56,118,242,471
61,85,112,149,192,237,61,85,131,221,394,715,13,27,56,118,242,471
56,80,107,144,187,232,56,80,126,216,389,710,14,29,58,121,245,472
59,83,110,147,190,235,59,83,129,219,392,713,14,29,59,122,247,473
58,85,116,157,208,258,58,85,137,237,429,781,13,27,58,122,250,486
62,93,129,174,235,298,62,93,154,269,489,897,13,27,59,124,253,494
67,98,134,179,236,291,67,98,158,271,485,871,13,28,60,126,259,504
59,86,118,160,213,263,59,86,139,241,438,799,14,28,59,125,257,501
