,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time,,
0,xgb,1,MorganFP,1.626886763,0.891324279,1.457196448,0.900010917,5.975692749,,
1,xgb,2,MorganFP,1.374349017,0.894530425,0.854821734,0.967748115,5.417512655,,
2,xgb,4,MorganFP,1.499065586,0.904522001,1.211070021,0.914087371,4.747686386,,
3,xgb,8,MorganFP,1.400481128,0.922620924,1.506712799,0.914854666,6.369441986,,
4,xgb,16,MorganFP,0.700879739,0.968738487,0.913518073,0.951129609,4.257091284,,
5,xgb,32,MorganFP,1.544008991,0.884377457,1.893340331,0.89466349,6.102814913,,
6,xgb,64,MorganFP,1.11375756,0.936198012,1.282254465,0.920805258,3.275051832,,
7,xgb,128,MorganFP,1.221344838,0.909230611,1.330566604,0.901472294,3.164120436,,
8,xgb,256,MorganFP,0.980701256,0.954636179,1.246311695,0.922160351,4.253412962,,
9,xgb,512,MorganFP,0.634586038,0.974291993,1.188910401,0.936471423,3.343429327,,
average,,,,1.209606092,0.924047037,1.288470257,0.922340349,4.690625453,,
st.p,,,,0.329314666,0.03118284,0.281086707,0.022174304,1.16292017,,
,,,,,,,,,,
10,xgb,1,RDkitFP,1.630513381,0.888185753,0.918793085,0.957185659,6.114061594,,
11,xgb,2,RDkitFP,1.009077117,0.941019152,1.271251905,0.923557542,7.802797318,,
12,xgb,4,RDkitFP,1.604807859,0.890880205,0.974961124,0.940076069,7.175158262,,
13,xgb,8,RDkitFP,1.629869818,0.889606712,1.632646994,0.898580982,5.310853004,,
14,xgb,16,RDkitFP,0.801748782,0.960058299,0.716777679,0.969345795,4.755156517,,
15,xgb,32,RDkitFP,1.467141338,0.897379957,1.84751556,0.897161118,9.958694935,,
16,xgb,64,RDkitFP,1.065983342,0.944375564,0.939889099,0.968464093,3.84033823,,
17,xgb,128,RDkitFP,0.874169013,0.951652293,1.629828656,0.84549029,3.683203459,,
18,xgb,256,RDkitFP,1.2239469,0.924699495,1.526350455,0.885403327,5.685703754,,
19,xgb,512,RDkitFP,0.699080929,0.968347745,0.949708492,0.959840239,3.919454575,,
average,,,,1.200633848,0.925620518,1.240772305,0.924510511,5.824542165,,
st.p,,,,0.342933661,0.029969522,0.371442768,0.039617,1.910266779,,
,,,,,,,,,,
20,xgb,1,AtomPairFP,2.058640861,0.823840239,1.786106547,0.850549975,4.6974895,,
21,xgb,2,AtomPairFP,1.971327436,0.782782309,1.681711158,0.856266578,12.76400042,,
22,xgb,4,AtomPairFP,1.76355463,0.871809767,1.01224919,0.934699137,4.892985106,,
23,xgb,8,AtomPairFP,1.863720241,0.867349724,1.885606204,0.869788859,4.1639359,,
24,xgb,16,AtomPairFP,1.192942734,0.911264886,1.029779338,0.945247841,3.87344408,,
25,xgb,32,AtomPairFP,1.81005919,0.853889683,2.407825803,0.836599969,5.75928998,,
26,xgb,64,AtomPairFP,1.547691819,0.878121459,1.958322832,0.823139973,4.236810923,,
27,xgb,128,AtomPairFP,1.106577393,0.923072764,1.618157197,0.852631233,3.6800282,,
28,xgb,256,AtomPairFP,1.299795872,0.919789091,1.82743761,0.840771366,3.816387177,,
29,xgb,512,AtomPairFP,1.258083018,0.892954587,1.581682276,0.886808586,4.961212158,,
average,,,,1.587239319,0.872487451,1.678887816,0.869650352,5.284558344,,
st.p,,,,0.332559449,0.041877142,0.395553268,0.038940837,2.566024404,,
,,,,,,,,,,
30,xgb,1,TorsionFP,1.548809189,0.900391611,1.312862682,0.920117283,6.345689774,,
31,xgb,2,TorsionFP,1.370937227,0.894453113,0.872579173,0.96663649,8.622350693,,
32,xgb,4,TorsionFP,1.309599944,0.92715983,1.293682254,0.903434879,4.221749067,,
33,xgb,8,TorsionFP,1.26752121,0.937214658,1.552959966,0.906685058,6.623881578,,
34,xgb,16,TorsionFP,0.803681449,0.95843127,0.881147917,0.955950226,3.580197811,,
35,xgb,32,TorsionFP,1.485061459,0.892186455,1.81627772,0.902824696,6.055459261,,
36,xgb,64,TorsionFP,1.164269827,0.931344876,1.456276739,0.891469072,3.356582642,,
37,xgb,128,TorsionFP,1.052356915,0.928982973,1.631200144,0.845193559,3.18751812,,
38,xgb,256,TorsionFP,1.160022956,0.932546582,1.425345769,0.895178945,6.30270648,,
39,xgb,512,TorsionFP,0.7225074,0.962322809,1.128166396,0.943841854,3.257162333,,
average,,,,1.188476758,0.926503418,1.337049876,0.913133206,5.155329776,,
st.p,,,,0.256345801,0.023174098,0.292316574,0.033670587,1.782805907,,
,,,,,,,,,,
40,xgb,1,AvalonFP,1.554224975,0.898292229,1.210111536,0.925233986,5.313003063,,
41,xgb,2,AvalonFP,0.811738128,0.961541091,1.014137578,0.950476505,7.528023005,,
42,xgb,4,AvalonFP,1.396766367,0.918356142,1.043605701,0.934693804,4.675721645,,
43,xgb,8,AvalonFP,1.263102112,0.933977636,1.860449106,0.864166466,5.782589912,,
44,xgb,16,AvalonFP,0.786193686,0.960027981,0.798201497,0.962116026,4.273640633,,
45,xgb,32,AvalonFP,1.50556955,0.891766861,1.852118721,0.895513676,6.752996445,,
46,xgb,64,AvalonFP,1.004576353,0.948268243,1.244856066,0.923420299,3.792514086,,
47,xgb,128,AvalonFP,0.938545399,0.94852286,1.618732992,0.853398986,5.71383214,,
48,xgb,256,AvalonFP,1.112083736,0.945256321,1.178436083,0.930784485,7.128032923,,
49,xgb,512,AvalonFP,0.752553922,0.959795669,1.063165608,0.948899033,3.769369364,,
average,,,,1.112535423,0.936580503,1.288381489,0.918870327,5.472972322,,
st.p,,,,0.286620927,0.024247492,0.346471544,0.034711575,1.287656608,,
,,,,,,,,,,
50,xgb,1,EstateFP,2.498334344,0.749364756,1.464377491,0.894924543,5.415465355,,
51,xgb,2,EstateFP,2.303270693,0.739308848,1.191072572,0.928594316,3.333508492,,
52,xgb,4,EstateFP,1.80322043,0.859854145,1.443278268,0.88043638,2.432731628,,
53,xgb,8,EstateFP,2.148915523,0.805289652,1.643085038,0.906712402,2.15937376,,
54,xgb,16,EstateFP,0.884725464,0.949896805,0.883685388,0.951879416,3.480057955,,
55,xgb,32,EstateFP,2.043099003,0.788984392,2.125245956,0.873122977,3.198476076,,
56,xgb,64,EstateFP,1.378979884,0.902434425,1.669378311,0.861570424,2.811819553,,
57,xgb,128,EstateFP,0.939678722,0.946598939,2.369392573,0.698652085,3.822137117,,
58,xgb,256,EstateFP,1.382146386,0.910878563,1.568894866,0.892525578,3.081873655,,
59,xgb,512,EstateFP,1.884929954,0.750353418,1.413772612,0.909773881,1.912225723,,
average,,,,1.72673004,0.840296394,1.577218308,0.8798192,3.164766931,,
st.p,,,,0.529629094,0.079343017,0.403516971,0.065407644,0.942008023,,
,,,,,,,,,,
60,xgb,1,MACCSFP,1.808333452,0.861542217,1.254164262,0.920912394,2.470062256,,
61,xgb,2,MACCSFP,1.537422426,0.872165756,1.083761736,0.939929256,2.816998482,,
62,xgb,4,MACCSFP,1.626477812,0.889626535,1.529559451,0.849097477,1.785905123,,
63,xgb,8,MACCSFP,1.410907723,0.929009566,1.539825348,0.918750198,1.586198807,,
64,xgb,16,MACCSFP,0.788388691,0.960154136,0.743171526,0.966259464,1.842011452,,
65,xgb,32,MACCSFP,1.55114412,0.882251525,1.867368309,0.901928444,3.881794453,,
66,xgb,64,MACCSFP,1.04960574,0.944112529,1.304819843,0.91325727,2.754914045,,
67,xgb,128,MACCSFP,1.164095843,0.919347148,1.694109246,0.844999731,3.203307629,,
68,xgb,256,MACCSFP,1.20689083,0.937245967,1.347325351,0.906996252,2.641117573,,
69,xgb,512,MACCSFP,0.793860477,0.956228719,1.246821297,0.930971039,1.721459389,,
average,,,,1.293712711,0.91516841,1.361092637,0.909310153,2.470376921,,
st.p,,,,0.332279784,0.034212264,0.302345544,0.03565178,0.704665909,,
,,,,,,,,,,
70,xgb,1,PharmacoErGFP,2.3856958,0.765549708,1.955275542,0.804449825,5.396247864,,
71,xgb,2,PharmacoErGFP,1.582962019,0.86723431,2.107114188,0.775492292,4.135808706,,
72,xgb,4,PharmacoErGFP,1.733843484,0.875774061,1.150863778,0.918052049,4.122597218,,
73,xgb,8,PharmacoErGFP,2.28110005,0.784245941,1.565013367,0.911792468,3.585517645,,
74,xgb,16,PharmacoErGFP,1.831419936,0.784804855,1.174565928,0.922726156,2.620088816,,
75,xgb,32,PharmacoErGFP,1.436938355,0.899364913,3.323804187,0.643181147,5.28236866,,
76,xgb,64,PharmacoErGFP,2.14012879,0.774859918,2.627907189,0.650925694,2.334956646,,
77,xgb,128,PharmacoErGFP,1.899587647,0.762983077,1.978578809,0.774764832,4.142785788,,
78,xgb,256,PharmacoErGFP,1.377233529,0.900427948,2.754729165,0.62078517,2.331833601,,
79,xgb,512,PharmacoErGFP,1.897587648,0.756203822,2.035313564,0.817218426,2.716141462,,
average,,,,1.856649726,0.817144855,2.067316572,0.783938806,3.666834641,,
st.p,,,,0.322575291,0.057330747,0.654048363,0.109271636,1.087071273,,
,,,,,,,,,,
80,xgb,1,PharmacoPFP,2.287280547,0.785406344,1.799878355,0.833667128,3.933943033,,
81,xgb,2,PharmacoPFP,2.162719248,0.725495071,2.023577289,0.800934221,3.150800943,,
82,xgb,4,PharmacoPFP,1.230618225,0.942145023,1.309685061,0.890343671,7.031917095,,
83,xgb,8,PharmacoPFP,2.113214886,0.813265157,2.218638362,0.801522557,3.935481071,,
84,xgb,16,PharmacoPFP,1.650878247,0.838746969,1.336966955,0.899187555,2.303034306,,
85,xgb,32,PharmacoPFP,1.794840543,0.850141919,3.334555554,0.648940698,3.728359222,,
86,xgb,64,PharmacoPFP,1.496545655,0.892390805,2.10280117,0.784107285,4.513753653,,
87,xgb,128,PharmacoPFP,1.592342232,0.833736567,1.692644692,0.833109469,3.050619125,,
88,xgb,256,PharmacoPFP,1.91081755,0.807265215,2.939043863,0.558664563,3.106750965,,
89,xgb,512,PharmacoPFP,1.429171247,0.861685562,1.326562984,0.924371147,3.283540487,,
average,,,,1.766842838,0.835027863,2.008435429,0.797484829,3.80381999,,
st.p,,,,0.329784396,0.05605646,0.650018303,0.108144468,1.223408222,,
,,,,,,,,,,
90,xgb,1,PubChemFP,1.62288491,0.888250938,1.306895461,0.918387537,3.754209995,,
91,xgb,2,PubChemFP,1.37245396,0.904228007,1.622927597,0.874030158,4.504044771,,
92,xgb,4,PubChemFP,2.359568805,0.753096267,1.192796721,0.912548943,2.633850574,,
93,xgb,8,PubChemFP,1.265897324,0.942950549,1.980193605,0.852018438,2.428309679,,
94,xgb,16,PubChemFP,1.364114289,0.880901831,0.572539591,0.979896953,2.256682158,,
95,xgb,32,PubChemFP,1.654158013,0.865851908,1.764715398,0.907937114,5.245857954,,
96,xgb,64,PubChemFP,1.082880727,0.940812407,1.209588797,0.927361578,2.355778456,,
97,xgb,128,PubChemFP,0.923352734,0.946189509,1.369073459,0.892020398,2.059201956,,
98,xgb,256,PubChemFP,1.441914401,0.895830666,1.337985091,0.913782359,2.923814058,,
99,xgb,512,PubChemFP,0.847330739,0.950960783,1.034034441,0.951861959,2.185489416,,
average,,,,1.39345559,0.896907287,1.339075016,0.912984544,3.034723902,,
st.p,,,,0.411048106,0.056062523,0.373296399,0.034532193,1.041420887,,
,,,,,,,,,,
100,xgb,1,MHFP6,1.889591915,0.849430518,1.045007785,0.944686994,6.619671345,,
101,xgb,2,MHFP6,1.07933314,0.936954469,1.927249976,0.836489969,6.106980801,,
102,xgb,4,MHFP6,1.586376031,0.898108729,1.331048184,0.891907778,5.998206139,,
103,xgb,8,MHFP6,1.733197607,0.880208172,1.686879113,0.898494278,5.21343255,,
104,xgb,16,MHFP6,0.964326017,0.942396292,1.179801145,0.921200745,8.311998844,,
105,xgb,32,MHFP6,1.494116631,0.895749066,2.142060692,0.875329227,8.097633123,,
106,xgb,64,MHFP6,1.015746476,0.95090719,1.10745595,0.955915237,4.237580299,,
107,xgb,128,MHFP6,0.861192356,0.953708159,1.702703552,0.831069344,4.788359642,,
108,xgb,256,MHFP6,1.21509294,0.93103218,1.848665746,0.846038954,5.222043276,,
109,xgb,512,MHFP6,0.913495988,0.941334825,1.265594927,0.931373074,4.264610052,,
average,,,,1.27524691,0.91798296,1.523646707,0.89325056,5.886051607,,
st.p,,,,0.35215931,0.033237807,0.36522591,0.042982305,1.371884855,,
,,,,,,,,,,
110,xgb,1,Property,2.587004726,0.718376116,2.115819906,0.779022621,3.645874977,,
