model,fp_types,test_r2,st.p,st,test_rmse,st.p,st
FCNN,AtomPairFP,0.854517251,0.055761655,0.855¡À0.056,1.716616558,0.407067311,1.717¡À0.407
FCNN,Autocorr,0.340219084,0.111091819,0.340¡À0.111,4.422573735,0.495627973,4.423¡À0.496
FCNN,AvalonFP,0.912083467,0.037131758,0.912¡À0.037,1.334908432,0.378572436,1.335¡À0.379
FCNN,Charge,0.643885874,0.124029238,0.644¡À0.124,2.733295997,0.559310489,2.733¡À0.559
FCNN,Connectivity,0.813808403,0.057064111,0.814¡À0.057,2.034978532,0.359342896,2.035¡À0.359
FCNN,Constitution,0.847871397,0.085014412,0.848¡À0.085,1.784759797,0.534596261,1.785¡À0.535
FCNN,Estate,0.844214242,0.085311849,0.844¡À0.085,1.751008793,0.57280768,1.751¡À0.573
FCNN,EstateFP,0.880949087,0.067895541,0.881¡À0.068,1.567137945,0.379864483,1.567¡À0.380
FCNN,Fragment,0.869199277,0.065183691,0.869¡À0.065,1.673837554,0.46076529,1.674¡À0.461
FCNN,InfoContent,0.388114329,0.158327379,0.388¡À0.158,3.648659869,0.494237739,3.649¡À0.494
FCNN,Kappa,0.452552392,0.115684886,0.453¡À0.116,3.375509265,0.387720547,3.376¡À0.388
FCNN,MACCSFP,0.87755796,0.051320695,0.878¡À0.051,1.576151812,0.353381331,1.576¡À0.353
FCNN,MHFP6,0.908828784,0.049656616,0.909¡À0.050,1.377518409,0.474719453,1.378¡À0.475
FCNN,MAP4,0.792630154,0.062463817,0.793¡À0.062,2.102974527,0.431746189,2.103¡À0.432
FCNN,MorganFP,0.914383987,0.041911611,0.914¡À0.042,1.331402692,0.432758185,1.331¡À0.433
FCNN,Path,0.551479989,0.13129991,0.551¡À0.131,3.069521764,0.645936345,3.070¡À0.646
FCNN,PharmacoErGFP,0.70618509,0.112631066,0.706¡À0.113,2.467476544,0.63423217,2.467¡À0.634
FCNN,PharmacoPFP,0.701282323,0.101322046,0.701¡À0.101,2.519761897,0.577719855,2.520¡À0.578
FCNN,Property,0.277012022,0.122067366,0.277¡À0.122,3.973667615,0.383728678,3.974¡À0.384
FCNN,PubChemFP,0.916307833,0.030371881,0.916¡À0.030,1.336452873,0.332054828,1.336¡À0.332
FCNN,RDkitFP,0.931846256,0.030774772,0.932¡À0.031,1.183035346,0.350713195,1.183¡À0.351
FCNN,Topology,0.277746088,0.145786181,0.278¡À0.146,3.953014335,0.368751417,3.953¡À0.369
FCNN,TorsionFP,0.918445957,0.029745095,0.918¡À0.030,1.318264379,0.329223875,1.318¡À0.329
FCNN,moe206,0.716268898,0.084387867,0.716¡À0.084,2.399599385,0.368466699,2.400¡À0.368
