model,fp_types,test_r2,test_rmse
xgb,AtomPairFP,0.869650352,1.678887816
xgb,Autocorr,0.85314087,1.751567505
xgb,AvalonFP,0.918870327,1.288381489
xgb,Charge,0.884085925,1.557098096
xgb,Connectivity,0.868096792,1.660601823
xgb,Constitution,0.880161859,1.566282734
xgb,Estate,0.899014408,1.439013863
xgb,EstateFP,0.8798192,1.577218308
xgb,Fragment,0.903481815,1.420665755
xgb,InfoContent,0.6777864,2.591165544
xgb,Kappa,0.575445736,2.968925035
xgb,MACCSFP,0.909310153,1.361092637
xgb,MHFP6,0.89325056,1.523646707
xgb,MAP4,0.735787138,2.379193564
xgb,MorganFP,0.922340349,1.288470257
xgb,Path,0.733886184,2.338658074
xgb,PharmacoErGFP,0.783938806,2.067316572
xgb,PharmacoPFP,0.797484829,2.008435429
xgb,Property,0.7797609,2.135623566
xgb,PubChemFP,0.912984544,1.339075016
xgb,RDkitFP,0.924510512,1.240772305
xgb,Topology,0.641622901,2.707785841
xgb,TorsionFP,0.913133206,1.337049876
xgb,moe206,0.890808804,1.518386646
model,fp_types,test_r2,test_rmse
rf,AtomPairFP,0.847984176,1.832481023
rf,Autocorr,0.793789208,2.161823387
rf,AvalonFP,0.911164286,1.367340893
rf,Charge,0.860619691,1.700851377
rf,Connectivity,0.824590722,1.919021403
rf,Constitution,0.86078022,1.728529299
rf,Estate,0.879003434,1.596848546
rf,EstateFP,0.89081216,1.479837205
rf,Fragment,0.877014961,1.560664567
rf,InfoContent,0.657770092,2.72506899
rf,Kappa,0.611973739,2.810424447
rf,MACCSFP,0.890749727,1.498168129
rf,MHFP6,0.854650308,1.792280648
rf,MAP4,0.704870293,2.726319311
rf,MorganFP,0.908070501,1.394748768
rf,Path,0.704670809,2.452733751
rf,PharmacoErGFP,0.802724564,2.032801747
rf,PharmacoPFP,0.810179917,1.955876985
rf,Property,0.721099946,2.407129544
rf,PubChemFP,0.906182934,1.416241389
rf,RDkitFP,0.916129933,1.328050825
rf,Topology,0.613952919,2.815700187
rf,TorsionFP,0.911483147,1.352898767
rf,moe206,0.867657636,1.671655886
model,fp_types,test_r2,test_rmse
knn,AtomPairFP,0.876261752,1.586433041
knn,Autocorr,0.695670502,2.50695702
knn,AvalonFP,0.894118697,1.414453199
knn,Charge,0.557757455,3.049986651
knn,Connectivity,0.730237453,2.368633781
knn,Constitution,0.758730411,2.176340867
knn,Estate,0.85887082,1.649621442
knn,EstateFP,0.869440381,1.63627487
knn,Fragment,0.833127774,1.838982722
knn,InfoContent,0.441128263,3.45903335
knn,Kappa,0.466846219,3.35297524
knn,MACCSFP,0.87376858,1.572846512
knn,MHFP6,0.892890596,1.44698778
knn,MAP4,0.660437474,2.738341346
knn,MorganFP,0.924399064,1.229555174
knn,Path,0.698206777,2.52442642
knn,PharmacoErGFP,0.839938831,1.715562176
knn,PharmacoPFP,0.844725261,1.795326656
knn,Property,0.534559037,3.109444509
knn,PubChemFP,0.90252202,1.404352648
knn,RDkitFP,0.900648705,1.317289616
knn,Topology,0.311972478,3.81364923
knn,TorsionFP,0.887003219,1.457277112
knn,moe206,0.265888094,3.919970075
model,fp_types,test_r2,test_rmse
svm,AtomPairFP,0.864424816,1.727525238
svm,Autocorr,0.454964912,3.402907615
svm,AvalonFP,0.918231754,1.303864472
svm,Charge,0.337819165,3.769628158
svm,Connectivity,0.595979647,2.892271746
svm,Constitution,0.714407582,2.477454567
svm,Estate,0.892454169,1.45919146
svm,EstateFP,0.877730319,1.571635382
svm,Fragment,0.886768671,1.482456108
svm,InfoContent,0.244416996,4.141373727
svm,Kappa,0.413557951,3.567999345
svm,MACCSFP,0.903884892,1.418225156
svm,MHFP6,0.88931424,1.569841323
svm,MAP4,0.78517511,2.356609881
svm,MorganFP,0.915292686,1.317450559
svm,Path,0.387529378,3.633598483
svm,PharmacoErGFP,0.80779734,1.988585257
svm,PharmacoPFP,0.791044468,2.056639598
svm,Property,0.141985264,4.573819242
svm,PubChemFP,0.90436643,1.411602262
svm,RDkitFP,0.919887824,1.285230648
svm,Topology,0.085805102,4.559324718
svm,TorsionFP,0.916407816,1.325480017
svm,moe206,0.316347164,4.036821267
model,fp_types,test_r2,test_rmse
xgb,AtomPairFP_CC,0.941414875,1.11704549
xgb,Autocorr_CC,0.943916867,1.075195861
xgb,AvalonFP_CC,0.945292972,1.075257967
xgb,Charge_CC,0.953628173,0.985282299
xgb,Connectivity_CC,0.94797053,1.039450222
xgb,Constitution_CC,0.951777109,1.01302459
xgb,EstateFP_CC,0.941400411,1.108961019
xgb,Estate_CC,0.948075575,1.018434705
xgb,Fragment_CC,0.949688455,1.020586147
xgb,InfoContent_CC,0.935939808,1.135308165
xgb,Kappa_CC,0.94582298,1.072441991
xgb,MACCSFP_CC,0.942116548,1.100371472
xgb,MHFP6_CC,0.948780803,1.06281524
xgb,MAP4_CC,0.935278464,1.168352625
xgb,MorganFP_CC,0.947155674,1.070440126
xgb,Path_CC,0.953856347,0.990703785
xgb,PharmacoErGFP_CC,0.945849277,1.057332458
xgb,PharmacoPFP_CC,0.950820335,1.027393428
xgb,Property_CC,0.945611516,1.039380975
xgb,PubChemFP_CC,0.948593512,1.063752172
xgb,RDkitFP_CC,0.948473578,1.039046425
xgb,Topology_CC,0.942430147,1.120202971
xgb,TorsionFP_CC,0.942907033,1.095796285
xgb,moe206_CC,0.954718969,0.96963195
model,fp_types,test_r2,test_rmse
rf,AtomPairFP_CC,0.944381171,1.082989153
rf,Autocorr_CC,0.945539325,1.058048833
rf,AvalonFP_CC,0.93912043,1.131648168
rf,Charge_CC,0.95270839,0.994898155
rf,Connectivity_CC,0.941001236,1.098318272
rf,Constitution_CC,0.953983388,0.971346378
rf,EstateFP_CC,0.937061616,1.14673829
rf,Estate_CC,0.947943225,1.029391788
rf,Fragment_CC,0.95395548,0.973644177
rf,InfoContent_CC,0.936693954,1.12841142
rf,Kappa_CC,0.940776956,1.118879914
rf,MACCSFP_CC,0.939025192,1.131231188
rf,MHFP6_CC,0.943956544,1.124745861
rf,MAP4_CC,0.942450052,1.115529347
rf,MorganFP_CC,0.942225007,1.115670889
rf,Path_CC,0.953968457,0.987392982
rf,PharmacoErGFP_CC,0.958675201,0.936775042
rf,PharmacoPFP_CC,0.958304383,0.941521091
rf,Property_CC,0.940721399,1.107718983
rf,PubChemFP_CC,0.941914788,1.122496174
rf,RDkitFP_CC,0.95042752,1.01606944
rf,Topology_CC,0.945951593,1.069328073
rf,TorsionFP_CC,0.939269014,1.143593706
rf,moe206_CC,0.948985896,1.020297993
model,fp_types,test_r2,test_rmse
knn,AtomPairFP_CC,0.936664149,1.152968333
knn,Autocorr_CC,0.695675889,2.506935781
knn,AvalonFP_CC,0.948592148,1.052604725
knn,Charge_CC,0.951430455,1.007602297
knn,Connectivity_CC,0.941264508,1.100419761
knn,Constitution_CC,0.944753436,1.100492555
knn,EstateFP_CC,0.932839191,1.181933451
knn,Estate_CC,0.953769155,1.001590403
knn,Fragment_CC,0.951398876,1.005735907
knn,InfoContent_CC,0.808041654,2.017001867
knn,Kappa_CC,0.931811716,1.203387344
knn,MACCSFP_CC,0.936076109,1.163971446
knn,MHFP6_CC,0.942071818,1.13041139
knn,MAP4_CC,0.946014621,1.079994898
knn,MorganFP_CC,0.941699862,1.144090053
knn,Path_CC,0.851588773,1.700393229
knn,PharmacoErGFP_CC,0.952758577,0.983962741
knn,PharmacoPFP_CC,0.945412034,1.087161666
knn,Property_CC,0.761850693,2.265093985
knn,PubChemFP_CC,0.943890717,1.105315442
knn,RDkitFP_CC,0.955740635,0.983541509
knn,Topology_CC,0.934491616,1.175372083
knn,TorsionFP_CC,0.949110255,1.075461728
knn,moe206_CC,0.2746816,3.89138786
model,fp_types,test_r2,test_rmse
svm,AtomPairFP_CC,0.950313483,1.007029399
svm,Autocorr_CC,0.459794857,3.386695042
svm,AvalonFP_CC,0.948967521,1.030170624
svm,Charge_CC,0.936023035,1.178951898
svm,Connectivity_CC,0.944041947,1.08527941
svm,Constitution_CC,0.947137706,1.05067927
svm,EstateFP_CC,0.941001591,1.129352321
svm,Estate_CC,0.953213037,0.972370631
svm,Fragment_CC,0.946491674,1.054154012
svm,InfoContent_CC,0.883471156,1.608861717
svm,Kappa_CC,0.939675253,1.138979163
svm,MACCSFP_CC,0.94261037,1.095464048
svm,MHFP6_CC,0.949761224,1.040545255
svm,MAP4_CC,0.943285517,1.077258551
svm,MorganFP_CC,0.952493099,0.98885539
svm,Path_CC,0.924041843,1.292055542
svm,PharmacoErGFP_CC,0.953060424,0.997349627
svm,PharmacoPFP_CC,0.951614706,1.020972348
svm,Property_CC,0.88979629,1.577939965
svm,PubChemFP_CC,0.946994778,1.047812028
svm,RDkitFP_CC,0.959183606,0.928314252
svm,Topology_CC,0.937523335,1.161559613
svm,TorsionFP_CC,0.949951341,1.021516279
svm,moe206_CC,0.45270048,3.638091166
