,model,fp_types,seed,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_epoch,r2_score,pearson_r2,rmse,mse,mae,mape
0,FCNN,MorganFP,1,0.395309285,0.866566401,1.350806438,0.992374663,0.970215371,0.919290702,5971,0.906273457,0.919290702,1.350806438,1.824678034,0.790341384,0.140068563
1,FCNN,MorganFP,2,0.391072568,1.072289825,0.738901741,0.992767072,0.9334142,0.973964591,207,0.972021825,0.973964591,0.738901741,0.545975783,0.502582736,0.080106702
2,FCNN,MorganFP,4,0.426855945,1.877390384,1.07494525,0.991353596,0.856512255,0.934598003,247,0.924418252,0.934598003,1.07494525,1.15550729,0.736015873,0.108040165
3,FCNN,MorganFP,8,0.436361777,1.222107685,1.838563553,0.990351981,0.93645571,0.861392452,599,0.861367546,0.861392452,1.838563553,3.380315938,0.983804898,0.181015073
4,FCNN,MorganFP,16,0.421256932,0.870921849,0.732447431,0.991670824,0.952682159,0.969727018,135,0.966940461,0.969727018,0.732447431,0.536479239,0.51655273,0.088825191
5,FCNN,MorganFP,32,0.425660693,1.890192765,2.123199805,0.990696276,0.829434617,0.871756938,506,0.852865147,0.871756938,2.123199805,4.507977411,0.887858539,0.101482168
6,FCNN,MorganFP,64,0.399933341,1.271789019,1.283890207,0.992335079,0.917814732,0.915638217,230,0.915331326,0.915638217,1.283890207,1.648374063,0.721971502,0.121241825
7,FCNN,MorganFP,128,0.39076029,0.960409374,1.303080624,0.992975272,0.939961563,0.909280092,318,0.901011177,0.909280092,1.303080624,1.698019112,0.701739325,0.108482324
8,FCNN,MorganFP,256,0.358931655,1.19337909,1.741128972,0.993847391,0.928458648,0.84387418,487,0.843495384,0.84387418,1.741128972,3.031530098,0.760231841,0.129597556
9,FCNN,MorganFP,512,0.385997024,1.438009171,1.127062903,0.992959073,0.868983477,0.944317673,158,0.942473371,0.944317673,1.127062903,1.270270788,0.765996662,0.133994209
average,,,,,,,,,,,0.908619795,0.914383987,1.331402692,1.959912776,0.736709549,0.119285378
st.p,,,,,,,,,,,0.043020645,0.041911611,0.432758185,1.224358216,0.138893676,0.027553441
,,,,,,,,,,,,,,,,
10,FCNN,RDkitFP,1,0.331315975,1.693555435,1.028941518,0.994635578,0.883798516,0.948155154,264,0.945617679,0.948155154,1.028941518,1.058720648,0.693077643,0.118772659
11,FCNN,RDkitFP,2,0.317397061,0.92595304,0.843988541,0.995223363,0.948745223,0.967173749,248,0.963497794,0.967173749,0.843988541,0.712316657,0.577356807,0.103400152
12,FCNN,RDkitFP,4,0.358594915,1.56168086,1.025425241,0.993949649,0.89474427,0.935148952,209,0.931221572,0.935148952,1.025425241,1.051496925,0.745805838,0.10846392
13,FCNN,RDkitFP,8,0.340497666,1.402101468,1.568949444,0.994242151,0.91991901,0.904247502,212,0.899045538,0.904247502,1.568949444,2.461602357,0.781802459,0.116827044
14,FCNN,RDkitFP,16,0.46003448,0.773751463,0.600380255,0.993857039,0.971269971,0.979662218,4428,0.977787539,0.979662218,0.600380255,0.360456451,0.435089004,0.095503033
15,FCNN,RDkitFP,32,0.391045132,1.67200846,1.862296829,0.994290521,0.879972995,0.895495704,390,0.886803855,0.895495704,1.862296829,3.468149481,0.808915387,0.091748786
16,FCNN,RDkitFP,64,0.363936468,1.149236167,1.165013298,0.994483719,0.9392389,0.937921281,215,0.930284596,0.937921281,1.165013298,1.357255984,0.668096365,0.10336548
17,FCNN,RDkitFP,128,0.340537686,0.923268352,1.448324573,0.995111245,0.947400586,0.880110335,5277,0.877714381,0.880110335,1.448324573,2.097644069,0.688976968,0.104209366
18,FCNN,RDkitFP,256,0.276239005,1.044155272,1.289837533,0.996352898,0.943534874,0.914785812,5819,0.914111447,0.914785812,1.289837533,1.66368086,0.680994532,0.154201355
19,FCNN,RDkitFP,512,0.325158921,1.051485455,0.997196224,0.995007755,0.929129542,0.955761854,177,0.954966691,0.955761854,0.997196224,0.994400309,0.664153099,0.107208127
average,,,,,,,,,,,0.928105109,0.931846256,1.183035346,1.522572374,0.67442681,0.110369992
st.p,,,,,,,,,,,0.031700132,0.030774772,0.350713195,0.881365993,0.101076784,0.016584596
,,,,,,,,,,,,,,,,
20,FCNN,AtomPairFP,1,0.073155851,2.551567737,1.477517814,0.99973846,0.745094434,0.891017503,125,0.88786484,0.891017503,1.477517814,2.183058892,0.898235886,0.159041245
21,FCNN,AtomPairFP,2,0.073476799,2.500021662,1.990687398,0.999743991,0.642856012,0.797726023,70,0.796927019,0.797726023,1.990687398,3.962836315,1.150614206,0.229976805
22,FCNN,AtomPairFP,4,0.07340398,1.71669188,1.406319367,0.999744311,0.871368522,0.871261232,109,0.870636382,0.871261232,1.406319367,1.977734163,0.969383783,0.133252121
23,FCNN,AtomPairFP,8,0.073803679,2.09271617,1.485167127,0.999723637,0.828592986,0.913021503,107,0.909539648,0.913021503,1.485167127,2.205721394,0.981734466,0.165047042
24,FCNN,AtomPairFP,16,0.325275163,1.218015268,0.962769162,0.9994948,0.912418887,0.943003347,167,0.942879998,0.943003347,0.962769162,0.92692446,0.687855086,0.152821598
25,FCNN,AtomPairFP,32,0.072277289,1.848908123,2.426224891,0.999731695,0.844357993,0.816888061,5578,0.807869666,0.816888061,2.426224891,5.886567223,1.355282893,0.295675227
26,FCNN,AtomPairFP,64,0.022192942,1.494024674,1.759778277,0.999976383,0.891838466,0.858001739,162,0.840931975,0.858001739,1.759778277,3.096819584,1.202618162,0.299202296
27,FCNN,AtomPairFP,128,0.073779198,1.410828802,2.015952641,0.999749576,0.881891178,0.77201939,219,0.763078628,0.77201939,2.015952641,4.06406505,1.151368822,0.192966364
28,FCNN,AtomPairFP,256,0.11942254,1.037203463,2.128987592,0.99972254,0.952985415,0.784503801,1916,0.766002333,0.784503801,2.128987592,4.532588166,1.278016006,0.250171001
29,FCNN,AtomPairFP,512,0.073046562,1.32615939,1.51276131,0.99974784,0.87838826,0.897729913,126,0.896363335,0.897729913,1.51276131,2.288446781,0.929467671,0.14570265
average,,,,,,,,,,,0.848209382,0.854517251,1.716616558,3.112476203,1.060457698,0.202385635
st.p,,,,,,,,,,,0.059526157,0.055761655,0.407067311,1.406076064,0.191743306,0.059103092
,,,,,,,,,,,,,,,,
30,FCNN,TorsionFP,1,0.436128329,1.884180244,1.195671391,0.990857213,0.876120564,0.937090775,175,0.926565519,0.937090775,1.195671391,1.429630076,0.764141215,0.125207449
31,FCNN,TorsionFP,2,0.439717617,1.425517598,0.753239805,0.990832179,0.882340656,0.975024123,516,0.970925481,0.975024123,0.753239805,0.567370204,0.544733964,0.101667469
32,FCNN,TorsionFP,4,0.464040929,2.093419452,1.248811603,0.989783802,0.806571911,0.91409161,274,0.897991094,0.91409161,1.248811603,1.55953042,0.90657365,0.12722854
33,FCNN,TorsionFP,8,0.465689682,1.378226947,1.675224348,0.988996903,0.91840837,0.888417597,1788,0.884905765,0.888417597,1.675224348,2.806376617,0.851630785,0.116351951
34,FCNN,TorsionFP,16,0.436320713,1.100845059,0.907576213,0.991063343,0.925288609,0.954051793,142,0.949241348,0.954051793,0.907576213,0.823694583,0.704249038,0.143806954
35,FCNN,TorsionFP,32,0.46060067,2.026627057,1.930699882,0.989104108,0.803845143,0.891952757,550,0.878335642,0.891952757,1.930699882,3.727602036,0.877749941,0.09866296
36,FCNN,TorsionFP,64,0.437823693,1.361716645,1.518750003,0.990815171,0.908801495,0.883363324,1018,0.881521494,0.883363324,1.518750003,2.306601572,0.780155428,0.114280482
37,FCNN,TorsionFP,128,0.436992267,1.861189352,1.351765941,0.991229489,0.852055706,0.905237305,146,0.893476215,0.905237305,1.351765941,1.827271158,0.888990998,0.158153779
38,FCNN,TorsionFP,256,0.38917759,1.163173364,1.426278144,0.992750465,0.930734888,0.895231883,650,0.894979587,0.895231883,1.426278144,2.034269345,0.716327992,0.122233805
39,FCNN,TorsionFP,512,0.4197077,1.104625159,1.174626463,0.991676513,0.92757476,0.9399984,346,0.937515518,0.9399984,1.174626463,1.379747327,0.758729982,0.109589699
average,,,,,,,,,,,0.911545766,0.918445957,1.318264379,1.846209334,0.779328299,0.121718309
st.p,,,,,,,,,,,0.030570678,0.029745095,0.329223875,0.886765006,0.104128677,0.017386954
,,,,,,,,,,,,,,,,
