seeds,pearson_r2,rmse,mse,mae,mape
seed128,0.858542489,2.029490024,4.118829756,0.9010882,0.094930201
seed16,0.973879722,0.743983611,0.553511614,0.424343424,0.089042714
seed1,0.957172136,0.940962659,0.885410725,0.473132425,0.098308266
seed256,0.953513525,1.063004521,1.129978612,0.523536997,0.113814794
seed2,0.950926159,1.183550955,1.400792863,0.73193217,0.146574433
seed32,0.984892748,0.509269007,0.259354922,0.387584912,0.083666732
seed4,0.878332692,1.565966744,2.452251842,0.808333171,0.159742676
seed512,0.976794698,0.585955569,0.343343929,0.38092244,0.082953692
seed64,0.904922913,1.485515752,2.20675705,0.762255974,0.12436788
seed8,0.872543317,1.525342818,2.326670712,0.700405639,0.111231817
average,0.93115204,1.163304166,1.567690203,0.609353535,0.11046332
