seed,pearson_r2,rmse,mse,mae,mape
seed128,0.932388341,1.236746592,1.529542133,0.816473928,0.176870866
seed16,0.955735566,0.930705442,0.86621262,0.700336908,0.168543123
seed1,0.89856316,1.275183032,1.626091766,0.851262486,0.142734765
seed256,0.926919949,1.382406336,1.911047279,0.778083039,0.134206904
seed2,0.954452254,0.895356315,0.801662931,0.706337631,0.203477469
seed32,0.907788065,1.736171018,3.014289802,0.981642465,0.24365682
seed4,0.928413116,1.18347924,1.400623111,0.817206062,0.171701271
seed512,0.875146434,1.558872788,2.43008437,1.115320849,0.270260147
seed64,0.872586034,1.653590746,2.734362354,0.925175262,0.255117188
seed8,0.927331582,1.306139593,1.706000636,1.013932573,0.171353437
average,0.91793245,1.31586511,1.8019917,0.87057712,0.193792199
