seed,pearson_r2,rmse,mse,mae,mape
seed128,0.950884731,0.955787748,0.913530219,0.446993786,0.065123776
seed16,0.990803994,0.387219494,0.149938937,0.264675008,0.050740699
seed1,0.953004782,0.958850594,0.919394461,0.578740516,0.082834689
seed256,0.910944006,1.337214647,1.788143011,0.532527363,0.090868092
seed2,0.990457371,0.431841601,0.186487168,0.262731336,0.047502289
seed32,0.892123125,1.920574701,3.688607181,0.857099063,0.179179725
seed4,0.954142604,0.880156767,0.774675935,0.522656302,0.06725914
seed512,0.928837855,1.335643163,1.78394266,0.77570301,0.106984903
seed64,0.961454339,0.885810286,0.784659862,0.534397977,0.082223374
seed8,0.938988905,1.271224149,1.616010837,0.557794655,0.085093291
average,0.947164171,1.036432315,1.260539027,0.533331902,0.085780998
