seed,pearson_r2,rmse,mse,mae,mape
seed128,0.219122882,3.859043729,14.89221851,2.815891842,0.854724954
seed16,0.606039323,2.691815852,7.24587258,2.071099357,0.61492289
seed1,0.569380734,3.128945996,9.790303046,2.386839768,0.449873276
seed256,0.612398304,3.047947309,9.289982799,2.415585747,0.79485469
seed2,0.593782565,3.232112,10.44654798,2.71532449,0.659525373
seed32,0.577326343,4.205257409,17.68418988,3.208431192,0.818191978
seed4,0.623064617,2.644111837,6.991327406,2.176996638,0.374169761
seed512,0.510299836,3.622988995,13.12604926,2.952835583,0.540263628
seed64,0.525914365,3.248004071,10.54953045,2.457444553,0.848056374
seed8,0.603601289,3.488440439,12.1692167,2.574839182,0.639678235
average,0.544093026,3.316866764,11.21852386,2.577528835,0.659426116
