seeds,pearson_r2,rmse,mse,mae,mape
seed128,0.819463518,1.760330654,3.098764011,0.957046979,0.214592819
seed16,0.968187025,0.73471044,0.539799431,0.550955702,0.20084144
seed1,0.950464017,0.988787435,0.977700592,0.727810698,0.149924255
seed256,0.864401875,1.700336522,2.891144289,0.92906401,0.230985055
seed2,0.945698837,1.071963783,1.149106352,0.642008502,0.180831698
seed32,0.816994633,2.469857777,6.100197436,1.234737221,0.377004331
seed4,0.89960187,1.250326739,1.563316955,0.825770498,0.150320797
seed512,0.913369239,1.427623022,2.038107492,0.893036155,0.16614716
seed64,0.902963997,1.482267303,2.197116358,1.01606382,0.213711527
seed8,0.820967111,2.168665377,4.703109517,1.121268031,0.378593009
average,0.890211212,1.505486905,2.525836243,0.889776162,0.226295209
