RT(min),RT_Pred,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
1.11,2.096253,1.9879823,2.257707,2.1287322,1.891969,2.4090376,1.9850588,1.753554,1.9775008,1.8520888,2.03398835
1.04,2.1542964,2.0265942,2.402268,2.089589,2.0422416,2.5035894,2.0202107,1.8810041,1.9973526,1.889793,2.1006939
1.08,2.1094642,2.083148,2.4345422,2.2582583,2.2247744,2.5301175,2.124339,1.9839426,2.40933,2.0415726,2.21994888
0.9,2.2707555,2.2815404,2.176137,3.2263858,2.2665274,2.1682906,2.1390657,1.9571975,2.7808867,2.0684032,2.33351898
1.136,2.1418076,2.0535126,2.0259233,3.0198548,2.16996,1.9201106,2.0563264,1.7952166,2.6549919,1.9564658,2.17941696
1.01,1.7292308,1.6524273,1.6777041,1.6109172,1.6485575,1.7663872,1.7137707,1.6117626,1.6876848,1.7244581,1.68229003
1.34,1.9337718,1.8675007,1.9387709,1.9850205,1.8207815,2.0020223,1.9637266,1.9259417,1.9545751,1.9448034,1.93369145
1.94,5.017292,4.9518,5.463495,5.259192,4.948363,5.228659,4.898271,4.876534,5.246193,4.7509685,5.06407675
1.01,2.461863,2.4608212,2.6671736,2.6765802,2.652903,2.9347908,2.4306698,2.4515119,2.5799708,2.238791,2.55550753
13.11,12.188968,12.2439995,12.358139,12.100327,12.060852,12.131463,12.396104,11.9537,11.934683,12.108266,12.14765015
11.83,12.077204,12.084071,12.337839,11.98638,11.978044,12.116103,12.372008,11.910486,11.882387,11.9799185,12.07244405
14.35,12.42962,12.299224,12.409758,12.001731,12.149335,12.203314,12.447767,11.960833,11.951188,12.160656,12.2013426
14.3,12.617431,12.235775,12.60651,12.311729,12.379973,12.569996,12.675795,12.259066,11.795464,12.313791,12.376553
13.09,11.941869,12.031354,12.281784,11.941202,11.947202,12.265937,12.147276,11.818362,11.870417,12.11237,12.0357773
15.53,13.090534,12.916257,12.958183,12.58287,12.599227,13.054697,12.767547,12.361179,12.504829,12.435765,12.7271088
1.22,2.3594923,2.5670774,2.15215,2.4867573,2.4478219,2.3032084,2.284911,2.6515317,2.2720513,2.5173311,2.40423324
1.42,3.0065823,3.3250887,3.0620248,3.4902546,3.2365375,3.276869,2.7800026,3.5238254,3.2981658,3.121499,3.21208497
1.21,2.347837,2.6116314,2.103196,2.4634242,2.4434505,2.2896006,2.3236625,2.5750709,2.3528166,2.547109,2.40577987
1.49,2.9954324,3.3554933,2.9617996,3.1920915,3.152927,3.2279594,2.6695576,3.3206341,3.2464254,3.1080282,3.12303485
1.37,2.3246808,2.4126635,2.238409,2.5438893,2.2778294,2.0125875,2.241422,2.3873043,2.2520351,2.3438277,2.30346486
1.62,3.218355,3.3384316,3.2389123,3.3688138,3.11409,3.0181556,3.0563736,3.4095433,3.370227,3.1982174,3.23311196
8.61,8.090826,7.9758277,8.044323,8.17357,8.019052,8.34589,8.111367,8.257081,8.17746,8.065245,8.12606417
8.54,8.264726,8.076818,8.08509,8.216957,8.182418,8.563793,8.264887,8.333516,8.316015,8.104597,8.2408817
8.73,8.343273,8.232075,8.168535,8.347935,8.29184,8.665334,8.277709,8.396189,8.423522,8.138826,8.3285238
8.65,8.42574,8.264021,8.342423,8.46983,8.40026,8.8894415,8.360085,8.632606,8.692996,8.31666,8.47940625
9.64,8.55391,8.454161,8.599894,8.829681,8.540826,9.168564,8.4895115,8.767444,9.0557165,8.501427,8.6961135
