RT(min),RT_Pred,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
1.11,2.346576,1.7485926,1.6205435,1.3782325,0.72549874,2.123158,2.6072433,1.4635602,1.0667092,1.5658324,1.664594644
1.04,3.178531,2.1557658,2.5432577,2.5077796,2.6007276,3.5366101,2.7366607,2.661009,1.8952919,1.861975,2.56776084
1.08,2.7670472,2.471821,2.2826376,2.0527625,2.0419812,2.9980817,3.5091827,2.4405806,1.9976326,1.609976,2.41717031
0.9,1.9313537,2.045872,1.6925192,1.748899,0.8430372,2.1879468,2.4201095,1.3409711,1.544149,0.84541917,1.660027667
1.136,1.9027587,2.1693919,1.8291769,1.9257483,1.2104689,2.2408643,2.3822906,1.3282758,1.5981842,0.8527739,1.74399335
1.01,3.391002,2.9691813,2.9395895,2.6726356,2.2389874,3.1547742,3.1088607,2.80139,2.57081,1.9971907,2.78444214
1.34,2.8403504,2.588566,2.6026754,2.6387,2.5576062,3.167317,2.5128677,2.4103682,2.292463,1.4148695,2.50257834
1.94,5.3564177,5.348896,5.4212484,5.3228736,5.310902,5.764088,5.140088,4.633604,4.605993,4.062292,5.09664027
1.01,4.116809,3.6478617,4.115096,4.306455,4.8565564,3.6703992,3.5367935,3.0721114,2.929098,3.0837157,3.73348959
13.11,9.29832,9.708218,9.692489,9.258039,9.446874,8.703526,10.299687,8.17787,8.723394,11.222715,9.4531132
11.83,8.945998,9.503941,9.466628,8.76782,9.072515,8.400227,10.269038,8.139471,8.473894,10.936068,9.19756
14.35,9.573096,9.98753,9.891479,9.607176,9.702092,9.288372,10.4301195,8.441664,9.114153,11.459978,9.74956595
14.3,9.738971,10.048252,9.983474,10.295774,10.137372,9.563793,10.610143,8.969984,9.513887,11.949251,10.0810901
13.09,9.39004,9.8553505,9.750655,9.867529,9.779653,9.239521,10.593686,8.805983,9.146269,11.675249,9.81039355
15.53,10.006072,10.264172,10.175872,10.625822,10.385579,10.294765,10.648725,9.364653,9.871538,12.180235,10.3817433
1.22,1.743106,2.5631602,1.0100546,2.0645728,1.2497145,1.191853,1.4155854,1.4967633,1.4152962,1.6974394,1.58475454
1.42,2.634143,3.5733836,2.1314535,3.101499,2.1899915,2.602345,2.661061,2.7732527,2.3549097,2.8103697,2.68324087
1.21,2.134967,3.2177622,1.9397421,2.6779761,1.715779,1.9259229,1.6932648,1.9103681,1.677961,2.0043242,2.08980674
1.49,3.0959656,4.284809,3.0779867,3.7644324,2.859486,3.328938,2.980107,3.199797,2.6287591,3.1189406,3.23392214
1.37,-2.2742584,-1.4867971,-1.8519449,-1.8104577,-3.4589343,-2.3804126,-3.1729538,-4.162813,-0.8394721,-2.568323,-2.40063669
1.62,-1.6329011,-0.6147573,-0.95405674,-0.6121545,-2.6049914,-1.2910571,-2.264354,-2.9552324,0.26342553,-1.6470582,-1.431313721
8.61,5.397258,5.7127266,6.499343,6.262113,6.2975354,7.9172254,7.7207766,5.7217083,6.8578544,8.465002,6.68515427
8.54,5.827853,6.144657,6.9476767,7.045591,6.915913,8.15572,7.9243746,5.9200726,7.6163535,8.757147,7.12553584
8.73,6.091098,6.458912,7.319869,7.43173,6.9592786,8.605793,8.184545,6.221098,7.855722,9.093451,7.42214966
8.65,6.3987913,6.8285713,7.7095175,7.77725,7.009022,9.079639,8.460385,6.544462,8.122965,9.434393,7.73649961
9.64,6.878955,7.35503,8.247481,8.265654,7.3463635,9.805286,8.890004,7.042326,8.2843075,9.944967,8.2060374
8.65,5.752002,5.988453,6.7897177,6.7215247,6.230946,8.1761055,7.5654726,5.6366863,6.957647,8.599417,6.84179718
8.64,5.7925444,6.0298347,6.9858236,6.9624305,6.0995374,8.25539,7.5164385,5.513212,6.911306,8.653753,6.87202701
8.24,6.089099,6.272724,6.738326,6.8616157,6.443974,8.469074,8.220643,6.407591,7.53795,9.051207,7.20922037
9.08,6.638652,6.8840523,7.5477133,7.660032,7.5840344,9.560108,8.904958,7.1152935,8.167456,9.712858,7.97751575
8.44,6.0466948,6.238117,6.830428,6.950559,6.818806,8.737522,8.162343,6.4464703,7.538404,9.031309,7.28006531
8.48,6.1300535,6.312153,6.941695,7.155271,7.211903,8.609638,8.130193,6.5368633,7.589708,9.095068,7.37125458
8.53,6.1483335,6.370289,7.048812,7.34036,7.507344,8.596516,8.081479,6.48596,7.603353,9.127417,7.43098635
8.53,6.1766844,6.43874,7.1609335,7.3404517,7.200337,8.5875435,8.057286,6.4288006,7.5998893,9.124228,7.4114894
8.64,6.1968412,6.483082,7.213973,7.3480506,7.0320325,8.607624,8.023656,6.337614,7.495214,9.127035,7.38651223
