RT(min),RT_Pred,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
1.11,1.394672,1.549842,1.46562,1.412674,1.597278,1.603798,1.542392,1.313658,1.444538,1.338278,1.466275
1.04,1.25928,1.438194,1.391428,1.229636,1.54234,1.471288,1.377206,1.18471,1.365598,1.18884,1.344852
1.08,1.277722,1.244452,1.294894,1.277814,1.257216,1.332416,1.290084,1.234616,1.35809,1.20938,1.2776684
0.9,1.301508,1.520584,1.446024,1.383232,1.536192,1.583722,1.446012,1.32117,1.380782,1.288384,1.420761
1.136,1.278828,1.50136,1.43974,1.375082,1.531186,1.552214,1.427822,1.312348,1.36138,1.268356,1.4048316
1.01,1.24538,1.382686,1.240294,1.180606,1.452668,1.422898,1.293738,1.129632,1.299832,1.139416,1.278715
1.34,1.295618,1.503586,1.43441,1.349528,1.561398,1.512364,1.427311333,1.317892,1.366878,1.275944,1.404492933
1.94,2.69660219,2.674971267,2.347653333,2.005502667,3.296613333,3.7040772,1.903854,2.642657,3.43887,1.877430267,2.658823126
1.01,1.288368,1.273314,1.324646,1.25876,1.291432,1.356142,1.32223,1.250142,1.359004,1.213836,1.2937874
13.11,13.486646,13.178212,13.234532,12.858486,13.37068667,12.648556,13.22975267,13.51938867,13.204224,13.12758,13.1858064
11.83,13.487724,12.92992,13.369834,12.673656,13.22109467,12.74038,13.59359667,13.28021667,13.126962,13.1982,13.1621584
14.35,13.503936,12.98595,13.564994,12.933998,13.31598,12.851348,13.46354,13.62864067,13.293182,13.092848,13.26344167
14.3,14.095398,13.501214,13.253526,13.612662,13.774572,13.031406,13.77462467,14.26555667,13.190606,14.023152,13.65227173
13.09,13.832244,13.34364,12.93969,13.024954,13.569892,12.887162,13.61297067,13.93571067,13.101528,14.05987,13.43076613
15.53,14.160502,13.374634,13.48181,13.76264,13.702696,13.172572,14.009296,14.57047467,13.22099,14.048704,13.75043187
1.22,2.334911,2.30542581,1.735605333,1.627619333,1.946997,3.540238333,1.723567333,1.754624667,1.881309467,1.671371667,2.052166994
1.42,2.638054,2.777437667,1.990941667,1.861994667,2.239242667,4.200696667,2.111909333,2.058158333,2.1313998,1.917157667,2.392699247
1.21,2.3233,2.267405143,1.69867,1.595241333,1.910012667,3.509372333,1.686621667,1.74037,1.866975276,1.634334333,2.023230275
1.49,2.600178667,2.740901,1.963504667,1.78573,2.215564667,4.147291,2.013110333,1.985003,2.0386928,1.863482667,2.33534588
1.37,2.312894,2.265859876,1.685913867,1.591724,1.862992333,3.577041,1.688659333,1.701456667,1.779394133,1.615126667,2.008106188
1.62,2.473252,2.461670876,1.794943867,1.683495333,2.075196,3.726028333,1.833377333,1.839718,1.8881668,1.71559019,2.149143873
8.61,7.446234,7.842616,7.883216,7.732626,8.287546,7.51058,7.296118,8.298842,8.288564,7.779598,7.836594
8.54,7.302848,7.85418,7.948388,7.697896,8.581974,7.54116,7.338084,8.382828,8.254016,7.899726286,7.880110029
8.73,7.542284,8.152494,8.150716,7.96086,8.93497,7.718208,7.670338,8.585612,8.490652,8.103986286,8.131012029
8.65,7.790588,8.647582,8.413492,8.441708,9.592404,8.070892,7.835432,8.987402,9.022418,8.683484286,8.548540229
9.64,8.748118,9.396864,9.718106,9.26281,10.403106,8.70681,8.668874,9.835914,9.39777,9.892590286,9.403096229
8.65,7.79668,8.317664,8.711196,8.239332,9.202804,7.79474,7.993582,8.709218,8.392158,8.58909,8.3746464
8.64,7.822594,8.38145,8.756732,8.326206,9.316984,7.841888,8.026856,8.728818,8.40521,8.620394,8.4227132
8.24,7.44917,7.64218,7.5825,7.499409714,7.606822,7.37915,7.240994,7.89331,7.809852,7.609494,7.571288171
9.08,7.611026,8.158722,7.97355,7.912809714,8.413896,7.56732,7.601458,8.461162,8.269224,7.857842,7.982700971
8.44,7.419614,7.787172,7.61894,7.621601714,7.8927,7.367864,7.248196,8.102188,8.013414,7.618376,7.669006571
8.48,7.391864,7.849504,7.696416,7.807771714,8.468768,7.469176,7.449728,8.319222,8.068046,7.908634,7.842912971
8.53,7.79257,8.20486,8.448856,8.071111714,8.901898,7.703174,7.990606,8.674634,8.083262,8.23677,8.210774171
8.53,7.822968,8.244914,8.520146,8.259143714,8.991828,7.703132,7.982374,8.789026,8.20634,8.315342,8.283521371
8.64,7.811324,8.32752,8.597662,8.360067714,9.172702,7.792158,8.00019,8.973456,8.500702,8.38527,8.392105171
8.18,7.836546,8.365354,8.46137,8.228719714,8.969748,7.70103,7.718212,8.633962,8.175498,8.192702,8.228314171
8.09,7.493788,8.178042,7.769172,7.830121714,8.298072,7.332942,7.246446,8.24094,8.205612,7.656758,7.825189371
8.28,7.466424,8.374974,7.93328,8.120749714,8.911634,7.556372,7.372328,8.552572,8.430678,8.115522,8.083453371
8.62,7.97353,8.751864,8.729732,8.577824,9.417572,8.008088,8.141724,9.011934,8.645002,8.643358,8.5900628
9.29,8.164898,9.030428,9.051716,8.758128,9.669458,8.265344,8.268324,9.354794,8.929206,8.869302,8.8361598
13.77,8.124982,8.540782,7.934718,8.50443,8.274696,7.959562,7.798412,8.45423,8.449746,8.056176,8.2097734
13.2,8.335588,8.75994,8.133502,8.736326,8.502838,8.01049,8.011664,8.784988,8.571102,8.217834,8.4064272
15.11,8.352512,8.763694,8.307584,8.98693,8.65336,8.249782,8.266654,8.894942,8.74762,8.285088,8.5508166
11.24,7.818442,8.156678,7.77513,8.134726,7.94928,7.560522,7.749182,8.018554,8.15391,7.46536,7.8781784
12.9,8.204404,8.538958,8.003122,8.566576,8.32679,7.865936,8.018198,8.530985,8.380748,7.898582,8.2334299
13.41,8.219054,8.593942,8.134772,8.602916,8.452986,7.985546,8.020654,8.624609,8.417424,7.905290286,8.295719329
12.66,8.203746,8.608702,8.112422,8.52869,8.467384,7.958216,7.988828,8.660793,8.422196,7.875070286,8.282604729
13.44,8.419682,8.946944,8.394736,8.843354,8.824794,8.108234,8.129782,8.979248,8.614108,8.095932286,8.535681429
13.83,7.93353,8.50141,8.064814,8.292634,8.56202,7.655302,8.015784,8.448035,8.318602,7.624324,8.1416455
13.58,8.17012,9.018686,8.346236,9.003856,9.255464,8.091038,8.239556,8.943621,8.60113,8.375434,8.6045141
2.825,2.798568,2.762379,2.800604,2.785118,2.73153,2.650072,2.716296,2.817006,2.636422,2.886558,2.7584553
2.899,2.787838,2.757945,2.801778,2.779368,2.722826,2.634588,2.720466,2.818878,2.64055,2.900398,2.7564635
2.834,2.797046,2.751109,2.800644,2.78808,2.725704,2.633874,2.728362,2.818094,2.640572,2.897234,2.7580719
2.86,2.805434,2.752111,2.80467,2.803096,2.729034,2.642348,2.72748,2.822746,2.642258,2.901952,2.7631129
2.895,2.812674,2.763669,2.820012,2.819008,2.746342,2.65803,2.741292,2.836504,2.655996,2.918032,2.7771559
2.587,2.763046,2.709081,2.779096,2.669998,2.653638,2.611892,2.66841,2.75518,2.615232,2.855266,2.7080839
1.78,4.65636,4.282338333,4.015418,3.912581333,4.07285,5.084502667,4.004358333,3.894716667,3.795480667,3.951593667,4.167019967
1.78,4.619292,4.253681667,3.914184,3.860115333,4.017921,4.951494667,3.921237,3.845182667,3.726124,3.886255667,4.0995488
1.74,4.69167,4.312476333,4.034342,3.925148,4.082627667,5.125234667,4.031715333,3.901063667,3.828832667,3.993941,4.192705133
1.85,4.741878,4.338393,4.028584,3.911287333,4.163343,5.122704,4.022788333,3.920152333,3.911924,4.043696,4.220475
1.84,4.774607333,4.358085,4.048955333,3.971227333,4.165756,5.158552,4.040616,3.977163,3.952579333,4.085842333,4.253338367
1.83,4.805594667,4.403370333,4.079931333,3.996505333,4.186693333,5.184168667,4.056231143,3.995191,3.965537333,4.116308333,4.278953148
1.44,3.748962667,3.83707781,3.599495667,3.614306,3.614684905,4.0993534,3.829850533,3.727484,3.50798,3.785081533,3.736427651
1.59,3.734831667,3.830941143,3.575870667,3.59173,3.635316238,4.062070733,3.799993267,3.695382667,3.499969667,3.729239533,3.715534558
1.57,3.789537333,3.870001333,3.670505,3.736324,3.62974,4.1103244,3.889224343,3.810854,3.556971333,3.857768867,3.792125061
1.64,3.830349667,3.893852476,3.660665667,3.632804,3.684236,4.1291244,3.8738566,3.750242333,3.566170333,3.901355667,3.792265714
1.64,3.877498333,3.945940076,3.739545,3.724079333,3.689524667,4.1434244,3.9515022,3.853683333,3.613471333,3.990527333,3.852919601
1.62,3.871608333,3.92778181,3.753176333,3.747992667,3.675222,4.135423067,3.996906867,3.875931,3.607459333,4.025156,3.861665741
1.26,3.585403,3.669618476,3.518433667,3.44768,3.556575333,3.960517,3.669345133,3.506920667,3.469214667,3.5644982,3.594820614
1.27,3.604670238,3.62830481,3.5159282,3.434597905,3.52222,3.939163,3.667386067,3.497286667,3.430922667,3.5251902,3.576566975
1.27,3.572460333,3.662203133,3.472364,3.434075333,3.525656667,3.928444,3.686678467,3.523554,3.451209667,3.5857502,3.58423958
1.34,3.657111333,3.74451581,3.543174533,3.495354667,3.574096667,4.058623,3.747337467,3.540311,3.501814,3.6953332,3.655767168
1.33,3.650093,3.71026781,3.532536,3.500192667,3.552127,4.010595667,3.750364133,3.548703,3.493642333,3.719268533,3.646779014
1.33,3.676569333,3.71649781,3.556469667,3.533738,3.542687,4.003866333,3.772099467,3.581881,3.500690333,3.779018533,3.666351748
7.99,11.72627286,11.939902,11.750186,11.53916314,10.311066,11.075506,14.17017914,10.75855,10.365682,12.59269,11.62291971
4.98,11.23506086,11.014298,11.127562,10.94958114,10.027156,10.748024,13.54611114,10.038962,10.036978,12.410876,11.11346091
6.12,11.62184886,11.709332,11.457638,11.19481514,10.182222,11.027288,14.66111714,10.674918,10.43303,12.331844,11.52940531
0.87,1.28295,1.411204,1.335178,1.386962,1.450246,1.368502,1.358756,1.351038,1.292032,1.237006,1.3473874
1.18,1.422606,1.561122,1.485152,1.52285,1.591684,1.545786,1.598602,1.492134,1.443102,1.389314,1.5052352
0.83,1.362126,1.403232,1.321766,1.33239,1.3981,1.330812,1.29787,1.277478,1.288786,1.22043,1.323299
1.25,1.435948,1.488706,1.441558,1.441,1.536428,1.486624,1.434086,1.298722,1.309076,1.33927,1.4211418
1.28,1.387134,1.591956,1.482334,1.529398,1.590934,1.537902,1.602322,1.499916,1.425848,1.403228,1.5050972
0.94,1.405026,1.548962,1.485246,1.54413,1.576862,1.518684,1.518872,1.480434,1.39941,1.376126,1.4853752
1.2,1.422606,1.561122,1.485152,1.52285,1.591684,1.545786,1.598602,1.492134,1.443102,1.389314,1.5052352
1.03,2.46292,2.455242,1.734358,1.708354,1.961668333,3.631793667,1.813777667,1.85908,1.805784,1.7441,2.117707767
1.37,2.593690333,2.864843667,1.983446667,1.86246,2.192774667,3.911033133,2.214924667,2.166587,1.960193333,2.000394,2.375034747
1.11,2.306876667,2.259224,1.648739333,1.621532,1.9318592,3.3853258,1.705015333,1.75956,1.784295333,1.602166,2.000459367
13.6,14.717236,14.386433,14.39657,14.506626,14.436628,12.74639,15.25557,15.572486,14.625132,15.790648,14.6433719
14.5,13.745674,13.823409,13.589406,14.160034,14.244884,12.227424,15.273044,14.852236,14.398328,15.332282,14.1646721
0.54,2.696616,2.24576,1.744962667,1.673576,2.003116,3.449496,1.855026,1.757988,2.033379333,1.725744,2.1185664
0.62,2.636668,2.149734,1.638583333,1.513076,1.948524,3.335335333,1.654686667,1.650108,1.890645333,1.586366,2.000372667
0.57,2.518566667,2.273863,1.705952,1.616383333,2.016258,3.222174667,1.754682,1.83719,1.9589,1.719369,2.062333867
0.72,2.612330667,2.405376,1.872106,1.743011333,2.150337333,3.638858333,2.023273333,1.939474,2.107294,1.838523,2.2330584
0.57,2.634722,2.457588,1.946895667,1.832868667,2.186783333,3.612538667,2.031444667,1.999928,2.047554,1.927785,2.2678108
1.12,2.980991,3.321793667,2.407209467,2.612929333,2.634195667,3.960532667,2.291664,2.713708,2.447848333,2.602643333,2.797351547
5.78,11.221868,11.12107257,11.156002,11.200362,10.638484,10.857664,12.874336,10.226508,10.706762,13.018328,11.30213866
5.99,11.309704,11.25201857,11.415226,11.355906,10.716284,10.984912,13.027464,10.523792,10.667262,12.902188,11.41547566
6.49,11.380192,11.14911457,11.678232,11.444028,10.64344,10.923318,12.94514,10.66082,10.55602,12.646456,11.40267606
6.94,11.58149,11.31886457,11.970752,11.624618,10.79887,11.117168,13.057034,10.81859467,10.81493,12.761428,11.58637492
7.69,11.76268,11.50735457,12.187928,11.844796,10.937506,11.301898,13.347128,10.91922267,11.01275,12.987558,11.78088212
5.89,11.016558,11.13839657,11.081748,11.074676,10.577836,10.81302,12.875678,10.204918,10.80077,12.920426,11.25040266
5.97,10.975436,11.00531257,11.18259,11.14817,10.494232,10.861512,13.03489,10.329222,10.634762,12.427786,11.20939126
6.16,11.408418,11.41945057,11.736856,11.141912,10.533618,11.206402,12.91316,10.49824,10.42661,12.719584,11.40042506
6.9,11.964848,11.40269257,12.203122,10.85878467,10.58283,11.266438,13.051782,10.96284867,10.43914,13.072192,11.58046779
6.88,11.620572,11.409962,12.051436,11.456706,10.77406,11.322474,13.390236,10.730096,10.781958,13.42853,11.696603
6.37,11.623346,11.25874457,12.066586,11.17745,10.70591,11.3804,13.298474,11.269966,10.582984,13.243592,11.66074526
5.96,11.71111,11.45564857,11.863924,11.323204,10.58538,11.343562,13.168958,11.211618,10.497974,13.127552,11.62889306
10.71,11.51113,11.77279257,11.831964,11.23458514,10.53932,11.361862,13.290454,10.218088,10.049304,12.589916,11.43994157
14.46,13.528284,14.130926,13.62207,13.253352,14.207752,13.644952,14.125028,13.14714,14.100372,13.103024,13.68629
9.72,5.448932,5.332495333,5.360344667,5.326936,5.693013486,5.391746,4.617613,5.276356,5.705371333,4.941829762,5.309463758
8.95,4.401565333,4.535981667,4.550485667,4.510673333,4.933389952,4.46746,4.283221,4.863656,5.189121333,4.543778,4.627933229
9.8,5.474114667,5.339474,5.341670333,5.390705333,5.700245486,5.395916,4.628463,5.3146455,5.735239333,4.963493762,5.328396741
9.08,4.402169333,4.545729,4.533707,4.509422,4.925754952,4.468176667,4.273080238,4.870776,5.151527333,4.554190667,4.623453319
