RT(min),RT_Pred,,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average,std
1.11,1.6926823,1.6392795,2.0440176,1.8127809,1.5226074,1.952245,1.750176,1.4108711,1.9549309,1.575156,1.73547467,1.575¡À1.735
1.04,1.813673,1.681448,2.3015666,1.806639,1.7920856,2.073566,1.8064523,1.5477529,2.0338058,1.7092352,1.85662244,1.709¡À1.857
1.08,1.6992474,1.7308124,2.0702555,2.0327244,1.8352841,1.9946988,1.7132288,1.5752974,2.3281038,1.5646772,1.85443298,1.565¡À1.854
0.9,1.7774235,1.8470019,1.7661755,3.1882927,2.0238106,1.6893731,1.889096,1.5730649,2.5695107,1.687652,2.00114009,1.688¡À2.001
1.136,1.7077982,1.7299896,1.6594493,3.0957386,1.9823534,1.575614,1.7968794,1.486098,2.4595342,1.6216191,1.91150738,1.622¡À1.912
1.01,1.4435396,1.2293226,1.3763161,1.2540331,1.2876117,1.4406767,1.5563622,1.190594,1.6222385,1.4868495,1.3887544,1.487¡À1.389
1.34,1.5226977,1.5559219,1.655054,1.6964036,1.4828675,1.6357458,1.7493832,1.560541,1.9322882,1.6497471,1.644065,1.650¡À1.644
1.94,5.2401214,5.270881,5.576247,5.504464,5.0719094,5.257202,4.894894,5.0646706,5.512645,5.0188336,5.2411868,5.019¡À5.241
1.01,2.3888178,2.5645576,2.5253928,2.6550868,2.3915987,2.9096148,2.4127054,2.2715964,2.7596323,2.546084,2.54250866,2.546¡À2.543
13.11,12.109248,12.470972,12.5029125,12.213335,12.170861,12.3661585,12.336024,12.065089,11.982233,12.098439,12.2315272,12.098¡À12.232
11.83,12.0603895,12.316603,12.396389,12.055034,12.106403,12.263461,12.253463,12.042077,11.89106,12.031002,12.14158815,12.031¡À12.142
14.35,12.27354,12.689555,12.540396,12.135085,12.280325,12.603989,12.375115,12.072685,12.119235,12.173232,12.3263157,12.173¡À12.326
14.3,12.649395,12.484006,12.526683,12.399678,12.264249,12.8283205,12.610187,12.392535,11.784976,12.14993,12.40899595,12.150¡À12.409
13.09,11.928315,12.289331,12.414465,11.840921,11.903546,12.457447,11.977702,11.932403,11.750775,12.010384,12.0505289,12.010¡À12.051
15.53,13.008287,13.093102,12.833385,12.4569645,12.415071,13.298543,12.674415,12.625041,12.368094,12.305488,12.70783905,12.305¡À12.708
1.22,2.2108555,2.29711,1.8560336,2.085198,2.1667523,2.1488733,2.3372488,2.3853078,2.1960955,2.3654191,2.20488939,2.365¡À2.205
1.42,2.5748098,2.841669,2.6785743,2.8152437,2.7583337,3.062976,2.6245236,3.2787879,2.9782944,2.82904,2.84422524,2.829¡À2.844
1.21,2.150024,2.3576427,1.8637348,2.0974715,2.136006,2.2682822,2.409216,2.4708638,2.3460255,2.3905506,2.24898171,2.391¡À2.249
1.49,2.6975925,3.0314608,2.6928566,2.7161467,2.822559,3.1084802,2.6104844,3.251798,3.0417063,2.8727713,2.88458558,2.873¡À2.885
1.37,2.142321,2.1427488,2.2236557,2.0862427,2.1295393,1.9229494,2.1944408,2.1622205,2.1986532,2.1290066,2.1331778,2.129¡À2.133
1.62,3.0166109,2.7995653,2.8810632,2.9081616,2.7665095,2.8678656,2.8544052,3.079618,3.2722595,2.7488809,2.91949397,2.749¡À2.919
8.61,8.130605,8.1261015,8.0696335,8.452831,8.335895,8.280064,8.066742,8.294191,8.114316,8.130798,8.2001177,8.131¡À8.200
8.54,8.38161,8.183764,8.117355,8.573175,8.506037,8.462835,8.20459,8.375341,8.19512,8.262078,8.3261905,8.262¡À8.326
8.73,8.506837,8.413069,8.312685,8.66142,8.604736,8.622095,8.276375,8.511802,8.331364,8.281069,8.4521452,8.281¡À8.452
8.65,8.669885,8.49562,8.798585,8.828466,8.911655,8.962122,8.3324,8.847869,8.755932,8.538179,8.7140713,8.538¡À8.714
9.64,8.817796,8.644468,9.016763,9.138145,9.035502,9.152713,8.39831,8.998463,9.087599,8.601557,8.8891316,8.602¡À8.889
8.65,8.374773,8.402669,8.352974,8.614236,8.584365,8.502535,8.216112,8.531857,8.223009,8.09024,8.389277,8.090¡À8.389
8.64,8.50676,8.441762,8.334974,8.710088,8.543944,8.5371065,8.275839,8.498449,8.1725445,8.0966015,8.41180685,8.097¡À8.412
8.24,7.760743,7.7307863,7.4982953,7.717778,7.4332857,7.8225517,7.734299,7.7917595,7.616093,7.729315,7.68349065,7.729¡À7.683
9.08,8.023861,8.599058,7.968678,8.598441,8.205774,8.236148,7.974695,8.020815,8.212393,8.004849,8.1844712,8.005¡À8.184
8.44,7.8224764,7.8559785,7.7528806,7.9895034,7.854873,7.858185,7.8352556,7.8856936,7.6574244,7.790002,7.83022725,7.790¡À7.830
8.48,8.142801,8.382742,7.947542,8.525294,8.10244,8.163183,7.8766847,8.183454,7.940026,7.8859596,8.11501263,7.886¡À8.115
8.53,8.367376,8.553178,8.029929,8.553142,8.19158,8.240347,7.969427,8.255537,8.078725,7.889877,8.2129118,7.890¡À8.213
8.53,8.8601675,8.808903,8.233372,8.956346,8.546814,8.285086,8.100849,8.296793,8.535843,7.9778943,8.46020678,7.978¡À8.460
8.64,8.867249,8.806581,8.423114,9.420016,8.634994,8.346896,8.132221,8.397657,8.345322,7.9491196,8.53231696,7.949¡À8.532
8.18,8.466082,8.654204,8.112227,8.607001,8.247484,8.282507,8.073973,8.290462,8.194735,7.974642,8.2903317,7.975¡À8.290
8.09,7.9638724,8.232827,7.7778172,8.282867,8.066749,8.068148,8.021339,7.988662,7.8583126,8.001667,8.02622612,8.002¡À8.026
8.28,8.072292,8.428693,7.957064,8.511708,8.456511,8.359692,8.1008215,8.276972,8.068161,8.190815,8.24227295,8.191¡À8.242
8.62,8.481265,8.804445,8.53231,9.077252,8.7873955,8.90782,8.289837,8.601716,8.669422,8.331816,8.64832785,8.332¡À8.648
9.29,8.912403,9.030822,8.88109,9.262427,9.052592,9.172227,8.544747,8.933731,9.088307,8.607783,8.9486129,8.608¡À8.949
13.77,11.050153,11.875201,12.01403,11.96504,11.924927,11.946065,11.320777,11.194592,12.216429,11.25004,11.6757254,11.250¡À11.676
13.2,11.152975,11.983047,12.105999,12.060209,12.132678,12.111922,11.440314,11.271026,12.353775,11.469662,11.8081607,11.470¡À11.808
15.11,11.234009,12.217568,12.450426,12.216975,12.154344,12.281907,11.474124,11.378949,12.643221,11.340258,11.9391781,11.340¡À11.939
11.24,10.6391115,11.438723,11.9896755,11.694266,11.679417,11.718833,11.013539,11.097402,11.862845,10.886575,11.4020387,10.887¡À11.402
12.9,11.101482,12.001472,12.095083,12.021783,12.047561,11.940074,11.432608,11.266979,12.394133,11.1371355,11.74383105,11.137¡À11.744
13.41,11.17109,11.98608,12.225038,11.936935,12.12941,11.98268,11.470991,11.297636,12.314607,11.285256,11.7799723,11.285¡À11.780
12.66,11.153502,11.966859,12.180656,11.926166,12.098859,11.914092,11.443535,11.300348,12.255509,11.258907,11.7498433,11.259¡À11.750
13.44,11.329728,12.055599,12.206289,12.085751,12.274587,12.126456,11.55462,11.334869,12.451944,11.509514,11.8929357,11.510¡À11.893
13.83,10.701948,11.403637,11.899381,11.924076,11.846569,11.695085,11.150726,11.119761,12.151759,11.016844,11.4909786,11.017¡À11.491
13.58,11.321375,12.21717,12.140536,12.839328,12.400708,11.991375,11.705721,11.208751,13.33941,11.140174,12.0304548,11.140¡À12.030
2.825,2.4115772,2.397245,2.3622937,2.5074153,2.3180742,2.7188609,2.2970424,2.3708224,2.6208005,2.5887084,2.459284,2.589¡À2.459
2.899,2.531705,2.481833,2.497208,2.599438,2.456171,2.8312075,2.5023131,2.4650412,2.620642,2.594226,2.55797848,2.594¡À2.558
2.834,2.5531268,2.4545407,2.538832,2.7464585,2.521455,2.8686996,2.6064982,2.4884706,2.6790512,2.7274182,2.61845508,2.727¡À2.618
2.86,2.5581818,2.4574213,2.6098893,2.7831266,2.5595539,2.8540893,2.6216745,2.5122025,2.6939578,2.763185,2.6413282,2.763¡À2.641
2.895,2.6541164,2.5590794,2.7930758,2.898246,2.7252738,2.9591937,2.7061214,2.6220844,2.8731337,2.8061137,2.75964383,2.806¡À2.760
2.587,2.4474263,2.289009,2.1155305,2.419049,2.1696858,2.731836,1.9347211,1.9985582,2.2459712,2.0290594,2.23808465,2.029¡À2.238
1.78,3.2981882,3.681805,2.8751233,3.3411548,3.378051,3.7311246,2.9968677,3.2435372,3.1662345,3.3276873,3.30397736,3.328¡À3.304
1.78,3.3520372,3.838792,3.2510283,3.3490062,3.4700503,3.9557998,3.1232588,3.29216,3.3006794,3.4052932,3.43381052,3.405¡À3.434
1.74,3.248373,3.7029674,2.8011289,3.3609226,3.3198707,3.730042,2.992798,3.2317505,3.2388108,3.318693,3.29453569,3.319¡À3.295
