RT(min),RT_Pred,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
3.77,4.6428742,4.43159,4.7354302,4.5945935,4.5294952,4.5070395,4.475217,5.132905,4.5735416,4.2499094,4.58725956
4.89,4.580167,4.3919725,4.553815,4.523813,4.4968433,4.400702,4.3420177,4.9601507,4.5714498,4.2912216,4.51121526
3.81,4.641179,4.561728,4.6633325,4.5831985,4.589701,4.53058,4.554385,5.109835,4.74308,4.492156,4.6469175
4.99,4.7431374,4.4084616,4.794324,4.611452,4.646533,4.4856873,4.460206,5.2037325,4.6103306,4.2154665,4.61793309
3.81,4.8745394,4.513464,4.83138,4.7370143,4.7390437,4.60313,4.533525,5.319633,4.691656,4.3160295,4.71594149
4,5.273842,4.972722,5.2311883,5.1303296,4.960989,5.0639143,4.919432,5.614112,5.11345,4.7361255,5.10161047
3.68,4.1429834,3.818869,4.0868716,4.109622,4.1063704,3.977767,4.2334766,4.4651604,3.9998283,3.8744986,4.08154473
3.77,4.0850754,4.3751426,4.215458,4.0985847,4.0339513,4.106743,4.4756145,4.7608757,4.3574915,3.9762821,4.24852188
3.84,4.173024,4.0304966,4.3093877,4.2144976,4.2057276,4.0652447,4.4954376,4.623403,4.1098185,4.037425,4.22644623
4.22,4.3483787,4.244774,4.409893,4.3800697,4.3888035,4.0748396,4.564767,4.8223734,4.2584553,4.135401,4.36277552
4.14,5.273842,4.972722,5.2311883,5.1303296,4.960989,5.0639143,4.919432,5.614112,5.11345,4.7361255,5.10161047
4.32,4.4206285,4.660491,4.535311,4.50395,4.402274,4.2919965,4.8011518,5.198435,4.603046,4.1396093,4.55568931
3.8,4.483451,4.3792515,4.8346405,4.261782,4.0329714,4.4006104,4.768141,5.0034266,4.7589684,4.618714,4.55419568
3.79,4.546387,4.3790674,4.5522175,4.186057,4.10645,4.3538036,4.728886,5.1220746,4.790714,4.6743264,4.54399835
4.42,4.282275,4.2682858,4.2626257,4.1670575,3.9865587,4.0538282,4.489792,4.808754,4.4061203,4.6061354,4.33314326
4.45,4.3495054,4.356952,4.418025,4.2163467,4.055092,4.139683,4.533638,4.9585924,4.46581,4.685669,4.41793135
4.14,4.41499,4.3706827,4.590561,4.4660196,4.403778,4.37479,4.4582024,4.4567804,4.2820168,4.473462,4.42912829
4.18,4.3487253,4.226863,4.4585533,4.308963,4.371249,4.2404156,4.378423,4.4593925,4.2519455,4.3490295,4.33935597
4.11,4.2142816,4.245928,4.3923035,4.265953,4.298006,4.181283,4.3277726,4.411313,4.2289743,4.242583,4.2808398
4.13,4.2898006,4.275293,4.4122944,4.284935,4.318696,4.1995173,4.318164,4.4522305,4.273983,4.2565575,4.30814713
4.19,4.325667,4.280164,4.3667603,4.2624245,4.3132315,4.206577,4.3305407,4.4779243,4.2409816,4.2560034,4.30602743
4.19,4.310277,4.2846184,4.271097,4.25772,4.273221,4.22624,4.305458,4.5057955,4.235253,4.230545,4.29002249
4.17,4.3540516,4.35655,4.3081317,4.346557,4.3403187,4.242791,4.336342,4.4711185,4.2669134,4.289745,4.33125189
4.12,4.335533,4.368475,4.3108525,4.374916,4.3379297,4.277014,4.3014565,4.4787054,4.328356,4.317812,4.34310501
4.22,4.397739,4.3846207,4.36376,4.4162107,4.357975,4.3620586,4.329186,4.5145864,4.3311844,4.406459,4.38637798
4.26,4.434616,4.3951144,4.3816957,4.4818,4.4092045,4.4370317,4.3648896,4.533996,4.4003935,4.4041624,4.42429038
4.13,4.415842,4.288967,4.4566236,4.271866,4.3020015,4.253277,4.373722,4.448327,4.24177,4.302534,4.33549301
4.15,4.4140778,4.282257,4.4527235,4.318182,4.3408313,4.249567,4.390875,4.4795938,4.2508507,4.307616,4.34865741
4.19,4.3062687,4.230955,4.328727,4.2187796,4.2680626,4.2059774,4.3090725,4.3815966,4.2308083,4.290292,4.27705397
4.14,4.378169,4.2780743,4.324618,4.28748,4.3259935,4.2497225,4.301935,4.4754896,4.290068,4.2729287,4.31844786
4.23,4.266601,4.21505,4.2337847,4.205442,4.2006073,4.1799903,4.1903086,4.232106,4.227874,4.163466,4.21152299
4.1,4.335498,4.244932,4.240885,4.346818,4.24355,4.2281446,4.2423677,4.345972,4.2329035,4.2472153,4.27082861
4.16,4.2947273,4.1863327,4.216527,4.4094844,4.2045436,4.1189594,4.227099,4.313426,4.284094,4.1694775,4.24246709
