RT(min),RT_Pred,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
3.77,4.2449827,4.211706,3.8479009,4.1313686,4.30797,3.9298077,4.2209888,3.7315948,3.7840755,4.7615266,4.11719216
4.89,4.0522337,4.2438107,3.5923657,3.5337427,4.007105,3.2526836,4.3982654,3.2149017,3.4418209,4.778586,3.85155154
3.81,4.229144,4.1832027,3.3457685,3.14237,3.9346101,2.5593243,4.3593554,2.9512603,3.1077754,4.7826905,3.65955012
4.99,4.6970396,4.435034,4.2120557,4.590826,4.6175404,4.5590343,4.400455,4.1822786,4.4733458,5.149222,4.53168314
3.81,5.0939207,4.9755,4.6510777,4.9003353,5.1583576,4.9002514,4.907436,4.5322695,4.7870054,5.6289735,4.95351271
4,5.7702513,5.772314,5.2632375,5.418173,5.7709446,5.392256,5.612575,5.018979,5.558215,6.296759,5.58737044
3.68,4.167712,4.143011,3.9652162,4.711111,4.299158,4.71665,3.7597384,4.273923,4.1281157,4.599982,4.27646173
3.77,3.886096,4.329809,3.6163602,3.4776208,3.751459,3.4737835,4.0983996,3.3141143,3.581744,4.7303987,3.82597851
3.84,5.184375,5.1331844,4.9511495,5.7262325,5.3185673,5.799391,4.7813296,5.2918673,5.2024107,5.6573167,5.3045824
4.22,5.0545225,5.3232174,4.8055253,5.662939,5.212351,5.49098,4.9195514,5.182477,4.9785185,5.6778703,5.23079524
4.14,5.7702513,5.772314,5.2632527,5.418173,5.7709446,5.392256,5.612575,5.018979,5.558215,6.296759,5.58737196
4.32,5.053027,4.7465878,4.836659,5.2107296,4.8290424,5.0474606,4.32896,5.0771456,4.680621,5.5042405,4.93144735
3.8,1.1887999,3.1078548,2.5502782,2.169607,3.65262,1.0909634,2.3300738,2.1575897,3.0652645,3.531607,2.48446583
3.79,2.1901731,4.7354794,4.054131,3.1810205,4.2410297,4.135084,2.5809588,3.1831024,4.837619,4.209067,3.73476649
4.42,3.2696104,3.570898,2.3525548,4.6966915,6.804056,0.98898125,2.2649493,4.257901,4.6100035,4.2195954,3.703524115
4.45,4.310748,5.304785,3.8709493,5.459814,7.504343,4.136015,2.47726,5.3714876,6.418597,4.9387727,4.97927716
4.14,4.0025053,4.0961056,3.091889,3.3144739,3.86857,3.2108974,3.557754,3.5736053,3.789828,3.586264,3.60918925
4.18,4.2358274,4.375448,3.3886437,3.6543558,4.1126194,3.9670086,3.8115115,4.1528597,4.1765623,3.9078124,3.97826488
4.11,4.344928,4.600134,3.5414662,3.8807352,4.3180714,4.6690273,3.8879352,4.424199,4.495471,4.222731,4.23846983
4.13,4.419009,4.733099,3.6549306,4.072592,4.5016193,5.2622814,3.9835162,4.7396364,4.549121,4.3845963,4.43004012
4.19,4.569476,4.869116,3.8397794,4.328253,4.7029896,5.4853497,4.1795306,4.8066072,4.6721373,4.5993257,4.60525645
4.19,4.743991,5.0357723,4.0472493,4.6005306,4.9064655,5.7230663,4.3771243,4.8904085,4.7947416,4.8095155,4.79288649
4.17,4.903674,5.2427425,4.234528,4.842184,5.0952015,5.932913,4.55109,4.976697,4.9187803,4.993544,4.96913543
4.12,5.0688047,5.45722,4.4160867,4.9529934,5.300745,6.118696,4.7291446,5.0702333,5.0259886,5.200209,5.13401213
4.22,5.2248716,5.6627254,4.5868134,5.065954,5.4929676,6.2009335,4.8995166,5.160718,5.140033,5.379767,5.28143001
4.26,5.3932066,5.87348,4.751847,5.211584,5.6979847,6.3516827,5.077785,5.252454,5.2437925,5.575949,5.44297655
4.13,4.0250425,4.192938,3.2818875,3.8175638,4.1744328,4.6910915,3.771541,4.332059,4.1173277,3.916052,4.03199358
