RT(min),RT_Pred,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
3.77,4.075952533,3.642562,4.062440133,4.158401333,4.483169867,3.613968,3.139169,4.153802667,3.9908794,3.904439,3.922478393
4.89,3.961886,3.597428,4.001313333,3.978454333,4.245205333,3.611608,3.08805,4.197902,3.867343733,3.760278467,3.83094692
3.81,4.376928,3.644572,4.083166333,4.332677,4.6672892,3.706694,3.125087333,4.341036,4.086164067,3.909664467,4.02732784
4.99,4.154209067,3.651808,4.0688796,4.208842667,4.634277667,3.596022,3.145565,4.144902667,4.038876467,4.018238867,3.9661622
3.81,4.1309964,3.678394,4.070923133,4.190369333,4.5745162,3.613818,3.131525667,4.137998667,3.8911802,3.987329667,3.940705127
4,4.153869467,3.69936,4.084146667,4.204138867,4.523588533,3.61306,3.150864333,4.137908667,3.882228095,4.0215302,3.947069483
3.68,3.8509738,3.556218,3.783357333,3.810326333,4.169225733,3.346392,3.067186,3.731684,3.7607574,3.750577733,3.682669833
3.77,3.654189333,3.51593,3.797170333,3.644072667,3.879168067,3.311884,3.043209,3.82295,3.615358067,3.5238198,3.580775127
3.84,3.9062638,3.61748,3.842531,3.836301667,4.143031867,3.349276,3.036676667,3.688136,3.843946067,3.766717067,3.703036013
4.22,3.838975133,3.570436,3.809697,3.913624333,4.1779002,3.365172,2.948811667,3.759204,3.759550733,3.716089867,3.685946093
4.14,4.153869467,3.69936,4.084146667,4.204138867,4.523588533,3.61306,3.150864333,4.137908667,3.882228095,4.0215302,3.947069483
4.32,3.813550467,3.480186,3.797238,3.880342333,4.126478067,3.364722,2.954201,3.740704,3.714208867,3.679609867,3.65512406
3.8,4.015882133,3.641462,3.899990267,4.140478867,4.149146667,3.480798,3.848682333,3.989636,4.061310533,3.800971333,3.902835813
3.79,3.5811622,3.471462,3.715493333,3.768008667,4.033218333,3.390842,3.137759333,3.753144,3.86332,3.617836667,3.633224653
4.42,4.172800333,3.755974,4.0224792,4.246155333,4.291696667,3.68755,3.902379667,4.096732,4.1122292,3.981350667,4.026934707
4.45,4.060577,3.768318,4.0107872,4.199178667,4.258708,3.651578,3.895833667,4.051406,4.066434667,3.947857467,3.991067867
4.14,4.2326284,4.042064,4.206888133,4.282130571,4.381379,4.193774,4.157232,4.271404,4.333922467,4.1543008,4.225572337
4.18,4.210820067,4.08843,4.198224467,4.284533238,4.312313667,4.227388,4.177139667,4.268178,4.259374467,4.157112533,4.21835141
4.11,4.238799067,4.101148,4.222394667,4.284230238,4.319695,4.220126,4.172571667,4.29762,4.313603467,4.1531528,4.23233409
4.13,4.194205067,4.09842,4.213970667,4.268046238,4.280205,4.208426,4.186316467,4.254002,4.273247467,4.1530128,4.21298517
4.19,4.201059067,4.096404,4.201398667,4.271482905,4.255185667,4.226542,4.169569467,4.277546,4.266639467,4.1336588,4.209948604
4.19,4.1804364,4.09318,4.168565667,4.265556905,4.230752333,4.2364,4.1715388,4.26661,4.2231868,4.135534667,4.197176157
4.17,4.2321784,4.127882,4.202158667,4.338267571,4.244820333,4.22731,4.208160476,4.257222,4.244247467,4.164006,4.224625291
4.12,4.2091032,4.146734,4.211456333,4.354596238,4.248530733,4.224616,4.228282276,4.238892,4.2280708,4.1864228,4.227670438
4.22,4.245542533,4.16365,4.237089333,4.388590238,4.240939533,4.232184,4.242595943,4.246382,4.238618133,4.196271333,4.243186305
4.26,4.232131733,4.171966,4.247566,4.425520305,4.2318286,4.229936,4.24824881,4.201536,4.267751333,4.215736,4.247222078
4.13,4.219966,4.123376,4.216564667,4.283048438,4.332611667,4.250792,4.226698667,4.268654,4.3058038,4.198600667,4.24261159
4.15,4.2347234,4.100388,4.222458667,4.285094771,4.294446,4.235824,4.2054728,4.29614,4.3358158,4.1692008,4.237956424
4.19,4.2604658,4.12052,4.194171467,4.247394733,4.290774333,4.256512,4.215219,4.27031,4.2595328,4.189854667,4.23047548
4.14,4.223324,4.110952,4.1768328,4.275249733,4.2421544,4.226142,4.2279212,4.236692,4.2311206,4.205004467,4.21553932
4.23,4.2165568,4.133596,4.183917333,4.259903533,4.258745,4.236332,4.230398533,4.197282,4.223896667,4.203075533,4.21437034
4.1,4.233069267,4.11836,4.198314667,4.280364733,4.2407184,4.223564,4.217301533,4.216364,4.2363178,4.208209933,4.217258433
4.16,4.1706096,4.03103,4.154366867,4.265431267,4.206798133,4.18121,4.173169333,4.185882,4.232346733,4.167405867,4.17682498
4.59,4.309154067,4.216998,4.294925,4.459133743,4.255768867,4.26996,4.322830143,4.28768,4.319160667,4.261126667,4.299673715
4.12,4.407850733,4.344686,4.496269667,4.508967743,4.2727086,4.282742,4.463271238,4.401528,4.483328095,4.420137333,4.408148941
4.62,4.3990234,4.115932,4.3449372,4.302930238,4.4881276,4.286666,3.625706143,4.369472,4.360359429,4.265033333,4.255818734
4.56,4.362754067,4.328356,4.406173667,4.463974743,4.2376326,4.271552,4.423430905,4.350682,4.402940762,4.3431,4.359059674
4.63,4.411518067,4.344082,4.475897667,4.497236143,4.2531826,4.271922,4.450577238,4.388562,4.448980095,4.381355333,4.392331314
4.61,4.3968654,4.337874,4.487302667,4.489524476,4.246915267,4.279084,4.447821238,4.365322,4.444520095,4.396247333,4.389147648
4.17,4.028896,3.739,3.957082667,4.049595,4.225467467,4.151692,3.498388,4.107616,4.119504,3.977396,3.985463713
4.16,3.958042,3.715838,3.913932667,3.998865,4.225793467,4.116212,3.455804333,3.998694,4.107492,3.907614,3.939828747
4.2,3.956596,3.755406,3.890538667,3.985069,4.223191467,4.117986,3.456698333,3.975218,4.05512,3.9125,3.932832347
4.19,3.980466,3.786822,3.937066667,3.997359,4.244181467,4.127552,3.479732333,3.985532,4.0883168,3.932612,3.955964027
4.22,3.937062,3.796188,3.950654667,3.990219,4.2385388,4.12177,3.470911333,3.974714,4.0638988,3.939154,3.94831106
4.27,3.9616204,3.807694,3.940416667,3.990363,4.2529228,4.13048,3.478215333,3.994636,4.1008988,3.950522,3.9607769
4.31,3.9540164,3.833672,3.970540667,3.990447,4.2417808,4.12441,3.472709333,4.007758,4.0782448,3.972784,3.9646363
4.19,4.05633,3.833824,4.007634,4.08566,4.274186,4.174132,3.608897333,4.030998,4.126798,3.977024,4.017548333
4.18,4.045164,3.849726,4.017042,4.051012,4.300668,4.151188,3.615165333,4.048964,4.114498,4.017857,4.021128433
4.18,4.0033388,3.83989,4.026986,4.013981333,4.290301667,4.158082,3.565606,4.042922,4.060126,3.9743812,3.9975615
