RT(min),RT_Pred,,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average,std
3.77,4.4279804,4.0390205,4.4654384,4.1612077,4.3664985,4.3531523,4.2384205,4.8462663,4.488849,4.1344976,4.35213312,4.134¡À4.352
4.89,4.3455257,4.080908,4.425298,4.1378975,4.3407116,4.2824326,4.1825747,4.8164682,4.4837837,4.2170715,4.33126715,4.217¡À4.331
3.81,4.384218,4.174998,4.438429,4.15998,4.3683867,4.384783,4.2643414,4.9001584,4.573747,4.298437,4.39474785,4.298¡À4.395
4.99,4.5402875,4.0186567,4.4585576,4.193383,4.4326434,4.375944,4.216198,4.8728814,4.4355297,4.0720677,4.3616149,4.072¡À4.362
3.81,4.677655,4.1457953,4.5464077,4.420608,4.538763,4.473201,4.3387914,5.022291,4.501379,4.2144957,4.48793871,4.214¡À4.488
4,4.9156785,4.587448,4.934769,4.6901093,4.774423,4.9308057,4.6398244,5.286172,4.8068633,4.619829,4.81859222,4.620¡À4.819
3.68,4.041115,3.666363,3.895594,3.8599617,4.0083895,3.925524,3.9139607,4.219471,3.926464,3.8311458,3.92879887,3.831¡À3.929
3.77,4.092413,4.248408,4.092025,3.8085787,3.9700413,4.13062,4.3605547,4.6043043,4.4783726,3.9246166,4.17099342,3.925¡À4.171
3.84,4.0925,3.8108685,4.1008773,3.901547,4.087412,4.035576,4.183324,4.3609676,4.028549,3.9946327,4.05962541,3.995¡À4.060
4.22,4.390318,4.0734854,4.2907763,4.241065,4.347413,4.0853763,4.460721,4.5866036,4.230426,4.1626863,4.28688709,4.163¡À4.287
4.14,4.9156785,4.587448,4.934769,4.6901093,4.774423,4.9308057,4.6398244,5.286172,4.8068633,4.619829,4.81859222,4.620¡À4.819
4.32,4.444995,4.5486355,4.3865757,4.297186,4.3867693,4.324236,4.7099204,4.960299,4.7966175,4.200883,4.50561174,4.201¡À4.506
3.8,4.2569785,4.1932573,4.6777244,4.1753044,3.9984171,4.327386,4.561579,4.8726773,4.4860616,4.5278115,4.40771971,4.528¡À4.408
3.79,4.168057,4.0539737,4.291791,4.00538,4.020155,4.396097,4.5537004,4.8128266,4.614888,4.4766335,4.33935022,4.477¡À4.339
4.42,4.01167,4.1706877,4.0809593,4.0340242,4.030362,4.081742,4.5572915,4.905929,4.2028503,4.4397182,4.25152342,4.440¡À4.252
4.45,4.0192456,4.2470922,4.162036,4.030101,4.005211,4.1231837,4.5709467,4.987834,4.3531065,4.440934,4.29396907,4.441¡À4.294
4.14,4.483079,4.3268948,4.508182,4.4078417,4.6148996,4.348729,4.389303,4.3704157,4.2776394,4.437334,4.41643182,4.437¡À4.416
