,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,1,moe206_Constitution_CC,0.896512995,0.966035966,0.943202566,0.95458253,2.514360905
1,xgb,2,moe206_Constitution_CC,0.647539951,0.979101131,0.459158705,0.989441404,2.636761427
2,xgb,4,moe206_Constitution_CC,1.465712975,0.911999525,0.770223115,0.962808058,1.86995101
3,xgb,8,moe206_Constitution_CC,0.809110609,0.979660974,1.422247674,0.931489544,2.095051289
4,xgb,16,moe206_Constitution_CC,0.600355849,0.978888485,0.433081342,0.988680287,2.099234819
5,xgb,32,moe206_Constitution_CC,1.47662126,0.895146872,1.884462949,0.896024508,2.26658392
6,xgb,64,moe206_Constitution_CC,0.879425831,0.960592667,0.825383231,0.970019449,1.808650494
7,xgb,128,moe206_Constitution_CC,0.755031631,0.962260891,0.811237899,0.965095499,1.71154356
8,xgb,256,moe206_Constitution_CC,0.70083831,0.97992167,1.261487752,0.924037762,2.665924549
9,xgb,512,moe206_Constitution_CC,0.548053931,0.979786007,0.844154919,0.968935442,1.835070848
10,xgb,1,moe206_Path_CC,0.881767882,0.967239032,0.761850898,0.970313993,2.636193514
11,xgb,2,moe206_Path_CC,0.665494208,0.977213475,0.41975769,0.991339881,2.776717186
12,xgb,4,moe206_Path_CC,1.502339066,0.908623207,0.710308581,0.967825168,1.88574481
13,xgb,8,moe206_Path_CC,0.794011356,0.979686085,1.437231857,0.92866951,2.085136652
14,xgb,16,moe206_Path_CC,0.667448996,0.974093984,0.411933186,0.989917628,2.035724163
15,xgb,32,moe206_Path_CC,1.521418915,0.888906615,1.873524176,0.901176559,2.016034603
16,xgb,64,moe206_Path_CC,0.891076311,0.960285597,0.864395384,0.967307199,1.811694384
17,xgb,128,moe206_Path_CC,0.735316915,0.963974912,0.878941303,0.959946548,1.700795174
18,xgb,256,moe206_Path_CC,0.67153688,0.981925631,1.240593381,0.927250026,2.427304029
19,xgb,512,moe206_Path_CC,0.596892166,0.975986763,0.870968634,0.966196684,1.836236
20,xgb,1,moe206_Charge_CC,0.928347281,0.96379688,0.842951032,0.96353778,2.754274368
21,xgb,2,moe206_Charge_CC,0.670152455,0.974997261,0.47519471,0.98876012,2.464054346
22,xgb,4,moe206_Charge_CC,1.40879163,0.919861411,0.67589885,0.9713222,1.94937253
23,xgb,8,moe206_Charge_CC,0.901938567,0.97342758,1.400463206,0.931475179,2.201831818
24,xgb,16,moe206_Charge_CC,0.651449118,0.97659589,0.4470083,0.988285737,2.586523294
25,xgb,32,moe206_Charge_CC,1.517064203,0.889852979,1.882925183,0.895674066,2.537262678
26,xgb,64,moe206_Charge_CC,0.878349591,0.960865486,0.921499915,0.963193231,1.866876364
27,xgb,128,moe206_Charge_CC,0.726318956,0.96524557,0.887980176,0.956567204,1.815658569
28,xgb,256,moe206_Charge_CC,0.674841095,0.981218857,1.442942723,0.899951117,5.603302956
29,xgb,512,moe206_Charge_CC,0.545275575,0.97930874,0.865924468,0.967190675,1.900045872
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,1,moe206_Path_Constitution_CC,0.86920565,0.968647058,0.869093565,0.961684108,2.651558161
1,xgb,2,moe206_Path_Constitution_CC,0.649466023,0.978393044,0.424373337,0.991211774,2.65055418
2,xgb,4,moe206_Path_Constitution_CC,1.389113544,0.923158271,0.731128787,0.966482107,1.970941782
3,xgb,8,moe206_Path_Constitution_CC,0.836225991,0.977630005,1.429577507,0.929122786,2.227909803
4,xgb,16,moe206_Path_Constitution_CC,0.64066969,0.976204603,0.438460881,0.988675107,2.156397104
5,xgb,32,moe206_Path_Constitution_CC,1.472547578,0.89810976,1.889849205,0.896954299,2.379854441
6,xgb,64,moe206_Path_Constitution_CC,0.867639611,0.962473316,0.798081598,0.974613924,1.888302565
7,xgb,128,moe206_Path_Constitution_CC,0.70712266,0.966919446,0.80206462,0.964984657,1.828691006
8,xgb,256,moe206_Path_Constitution_CC,0.668883555,0.981307308,1.27640034,0.919829993,2.774095774
9,xgb,512,moe206_Path_Constitution_CC,0.548031409,0.979595657,0.860369629,0.967593593,1.911368132
10,xgb,1,moe206_Path_Charge_CC,0.970332338,0.9602007,0.805516825,0.966802581,2.90881443
11,xgb,2,moe206_Path_Charge_CC,0.681560494,0.976508295,0.512800717,0.986869299,3.401193857
12,xgb,4,moe206_Path_Charge_CC,1.512181434,0.906582724,0.695604378,0.969598655,2.055900335
13,xgb,8,moe206_Path_Charge_CC,0.85862114,0.976101223,1.393886259,0.932879792,2.316922188
14,xgb,16,moe206_Path_Charge_CC,0.625894116,0.977499945,0.381784772,0.991353184,2.275240421
15,xgb,32,moe206_Path_Charge_CC,1.541962782,0.886490624,1.842489715,0.900628752,2.464712858
16,xgb,64,moe206_Path_Charge_CC,0.854487998,0.96400084,0.833904503,0.972022582,1.949283838
17,xgb,128,moe206_Path_Charge_CC,0.745896378,0.963140806,0.838136245,0.962937028,1.873199224
18,xgb,256,moe206_Path_Charge_CC,0.706382455,0.978886224,1.201427327,0.930414044,2.693466663
19,xgb,512,moe206_Path_Charge_CC,0.565616103,0.978370402,0.833178598,0.969705612,1.997837305
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time
0,xgb,1,moe206_Path_Charge_Constitution_CC,0.920571393,0.964398778,0.860276412,0.962137583,2.83794713
1,xgb,2,moe206_Path_Charge_Constitution_CC,0.674686236,0.976069735,0.546247734,0.984744257,2.884664536
2,xgb,4,moe206_Path_Charge_Constitution_CC,1.487302736,0.910369332,0.695187861,0.969520204,2.139237404
3,xgb,8,moe206_Path_Charge_Constitution_CC,0.86626773,0.978339613,1.362513611,0.938997699,2.410751581
4,xgb,16,moe206_Path_Charge_Constitution_CC,0.632540996,0.977825134,0.438612082,0.989089008,2.887983084
5,xgb,32,moe206_Path_Charge_Constitution_CC,1.430671612,0.903506381,1.899222971,0.894453301,2.65061903
6,xgb,64,moe206_Path_Charge_Constitution_CC,0.862207001,0.962923185,0.829828303,0.970907738,2.048270941
7,xgb,128,moe206_Path_Charge_Constitution_CC,0.747766167,0.963392319,0.872031551,0.957809128,1.983353376
8,xgb,256,moe206_Path_Charge_Constitution_CC,0.676777972,0.981650729,1.455322115,0.895806059,5.380715609
9,xgb,512,moe206_Path_Charge_Constitution_CC,0.559474176,0.979168246,0.844586473,0.968802633,2.091864109
