smiles,rt_min,CM_Tem,CM_Speed,CM_Particle Size,CM_Inner Diameter,CM_Length,CM_PhaseA_W_per,CM_PhaseA_O_per,CM_PhaseA_FA_per,CM_PhaseA_TFA_per,CM_PhaseB_O_pKa,CM_PhaseB_O_per,CM_PhaseB_W_per,CM_PhaseB_FA_per,CM_PhaseB_TFA_per,CM_RT-initial,CM_RT-final,CM_time
O=C(C1=CN=C(NC2=NC(C)=NC(N3CCN(CCCNC(COC4=CC=C(C(CC5)C(NC5=O)=O)C=C4)=O)CC3)=C2)S1)NC6=C(C)C=CC=C6Cl,0.54,65,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,95,1.6
O=C(C1=CN=C(NC2=NC(C)=NC(N3CCN(CCCNC(COC4=CC=C(N(C(N5)=O)CCC5=O)C=C4)=O)CC3)=C2)S1)NC6=C(C)C=CC=C6Cl,0.62,65,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,95,1.6
O=C(C1=CN=C(NC2=NC(C)=NC(N3CCN(CCCNC(COC4=CC=C(C(N(C5CCC(NC5=O)=O)C6=O)=O)C6=C4)=O)CC3)=C2)S1)NC7=C(C)C=CC=C7Cl,0.57,65,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,95,1.6
O=C(C1=CN=C(NC2=NC(C)=NC(N3CCN(CCCC(N4CCN(C5=CC=C(C(CC6)C(NC6=O)=O)C=C5)CC4)=O)CC3)=C2)S1)NC7=C(C)C=CC=C7Cl,0.72,65,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,95,1.6
O=C(C1=CN=C(NC2=NC(C)=NC(N3CCN(CCCC(N4CCN(C5=CC=C(N(C(N6)=O)CCC6=O)C=C5)CC4)=O)CC3)=C2)S1)NC7=C(C)C=CC=C7Cl,0.57,65,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,95,1.6
O=C(NCC1=CC=C(C2=C(C)N=CS2)C=C1)[C@H]3N(C([C@H](C(C)(C)C)NC(COCCOCCNC(COC4=CC5=NC=NC(C6CCN(C(C7=CC=C(OC(F)(F)F)C=C7)=O)CC6)=C5N=C4)=O)=O)=O)C[C@H](O)C3,1.12,60,1.2,1.7,2.1,50,99.95,0,0.05,0,-4.3,99.95,0,0.05,0,2,90,1.7
COC1=CC2=C(C=C1)N1C(C)=NN=C1[C@@H](N=C2C1=CC=C(Cl)C=C1)[C@@H](C)C(=O)NCCCCCNC(=O)COC1=C2C(=O)N(C3CCC(=O)NC3=O)C(=O)C2=CC=C1,1.136,50,2,3.5,4.6,50,99.99,0,0,0.01,-4.3,99.99,0,0,0.01,5,95,2.8
COC1=CC2=C(C=C1)N1C(C)=NN=C1[C@@H](N=C2C1=CC=C(Cl)C=C1)[C@@H](C)C(=O)NCCCCCCCNC(=O)COC1=C2C(=O)N(C3CCC(=O)NC3=O)C(=O)C2=CC=C1,1.211,50,2,3.5,4.6,50,99.99,0,0,0.01,-4.3,99.99,0,0,0.01,5,95,2.8
COC1=CC2=C(C=C1)N1C(C)=NN=C1[C@@H](N=C2C1=CC=C(Cl)C=C1)[C@@H](C)C(=O)NCCCCCCCCCNC(=O)COC1=C2C(=O)N(C3CCC(=O)NC3=O)C(=O)C2=CC=C1,1.299,50,2,3.5,4.6,50,99.99,0,0,0.01,-4.3,99.99,0,0,0.01,5,95,2.8
COC1=CC2=C(C=C1)N1C(C)=NN=C1[C@@H](N=C2C1=CC=C(Cl)C=C1)[C@@H](C)C(=O)NCCOCCNC(=O)COC1=C2C(=O)N(C3CCC(=O)NC3=O)C(=O)C2=CC=C1,1.08,50,2,3.5,4.6,50,99.99,0,0,0.01,-4.3,99.99,0,0,0.01,5,95,2.8
COC1=CC2=C(C=C1)N1C(C)=NN=C1[C@@H](N=C2C1=CC=C(Cl)C=C1)[C@@H](C)C(=O)NCCOCCOCCNC(=O)COC1=C2C(=O)N(C3CCC(=O)NC3=O)C(=O)C2=CC=C1,1.094,50,2,3.5,4.6,50,99.99,0,0,0.01,-4.3,99.99,0,0,0.01,5,95,2.8
O=C(OCC1=CC=C(NC([C@H](CCCNC(N)=O)NC(C2(CCC2)C(NCCCCCN3C(C=CC3=O)=O)=O)=O)=O)C=C1)NCO[C@@H]4C[C@@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)N(C([C@H](C(C)(C)C)NC(COCCOCCOCCNC(C[C@@H]7N=C(C8=CC=C(Cl)C=C8)C9=C(SC(C)=C9C)N%10C7=NN=C%10C)=O)=O)=O)C4,4.03,50,0.8,3,2.1,30,99.9625,0,0,0.0375,-4.3,99.98125,0,0,0.01875,10,80,6
O=C([C@H](C(C)(C)C)NC(COCCOCCOCCNC(C[C@@H]1N=C(C2=CC=C(Cl)C=C2)C3=C(SC(C)=C3C)N4C1=NN=C4C)=O)=O)N5C[C@H](OC(OC[C@@H](C)SS(C)(=O)=O)=O)C[C@H]5C(NCC6=CC=C(C7=C(C)N=CS7)C=C6)=O,4.24,50,0.8,3,2.1,30,99.9625,0,0,0.0375,-4.3,99.98125,0,0,0.01875,10,80,6
O=C([C@H](C(C)(C)C)NC(COCCOCCOCCNC(C[C@@H]1N=C(C2=CC=C(Cl)C=C2)C3=C(SC(C)=C3C)N4C1=NN=C4C)=O)=O)N5C[C@H](OC(OCC(C)(C)SS(C)(=O)=O)=O)C[C@H]5C(NCC6=CC=C(C7=C(C)N=CS7)C=C6)=O,4.31,50,0.8,3,2.1,30,99.9625,0,0,0.0375,-4.3,99.98125,0,0,0.01875,10,80,6
O=C([C@H](C(C)(C)C)NC(COCCOCCOCCNC(C[C@@H]1N=C(C2=CC=C(Cl)C=C2)C3=C(SC(C)=C3C)N4C1=NN=C4C)=O)=O)N5C[C@H](OC(OC(C)C(C)SS(C)(=O)=O)=O)C[C@H]5C(NCC6=CC=C(C7=C(C)N=CS7)C=C6)=O,4.33,50,0.8,3,2.1,30,99.9625,0,0,0.0375,-4.3,99.98125,0,0,0.01875,10,80,6
O=C([C@H](C(C)(C)C)NC(COCCOCCOCCNC(C[C@@H]1N=C(C2=CC=C(NC([C@H](CCCNC(N)=O)NC(OCC3C(C=CC=C4)=C4C5=C3C=CC=C5)=O)=O)C=C2)C6=C(SC(C)=C6C)N7C1=NN=C7C)=O)=O)N8C[C@H](O)C[C@H]8C(NCC9=CC=C(C%10=C(C)N=CS%10)C=C9)=O,3.7,50,0.8,3,2.1,30,99.9625,0,0,0.0375,-4.3,99.98125,0,0,0.01875,10,80,6
O=C(NC1=CC=C(COC(NC2=CC(CCOCC(N[C@@H](C(C)(C)C)C(N3C[C@H](O)C[C@H]3C(NCC4=CC=C(C5=C(C)N=CS5)C=C4)=O)=O)=O)=CC(OCCNC(C[C@@H]6N=C(C7=CC=C(Cl)C=C7)C8=C(SC(C)=C8C)N9C6=NN=C9C)=O)=C2)=O)C=C1)[C@H](CCCNC(N)=O)NC(C%10(CCC%10)C(NCCCCCN%11C(C=CC%11=O)=O)=O)=O,3.93,50,0.8,3,2.1,30,99.9625,0,0,0.0375,-4.3,99.98125,0,0,0.01875,10,80,6
O=C([C@H](C(C)(C)C)NC(COC[C@H]1C[C@H](CNC1)COCCNC(C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C4=C(SC(C)=C4C)N5C2=NN=C5C)=O)=O)N6C[C@H](O)C[C@H]6C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O,3.23,50,0.8,3,2.1,30,99.9625,0,0,0.0375,-4.3,99.98125,0,0,0.01875,10,80,6
