smiles,rt_min,CC_Tem,CC_Speed,CC_Particle Size,CC_Inner Diameter,CC_Length,CC_PhaseA_W_per,CC_PhaseA_O_per,CC_PhaseA_FA_per,CC_PhaseA_TFA_per,CC_PhaseB_O_pKa,CC_PhaseB_O_per,CC_PhaseB_W_per,CC_PhaseB_FA_per,CC_PhaseB_TFA_per,CC_RT-initial,CC_RT-final,CC_time
O=C1OC2=CC(OCCCN3CCC(C(NC4=NC=C(SCC5=NC=C(C(C)(C)C)O5)S4)=O)CC3)=CC(O)=C2C(C)=C1,5.2,45,0.5,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,8
O=C1OC2=CC(OCCCN3CCC(C(NC4=NC=C(SCC5=NC=C(C(C)(C)C)O5)S4)=O)CC3)=CC(O)=C2C(C)=C1,7.08,45,0.2,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,8
O=C1OC2=CC(OCCCN3CCC(C(NC4=NC=C(SCC5=NC=C(C(C)(C)C)O5)S4)=O)CC3)=CC(O)=C2C(C)=C1,7.12,45,0.5,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,10
CC(C)(C)C1=CN=C(CSC2=CN=C(NC(C3CCN(CCCCCOC4=C5C(OC(C=C5C)=O)=CC(O)=C4)CC3)=O)S2)O1,5.28,45,0.5,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,8
CC(C)(C)C1=CN=C(CSC2=CN=C(NC(C3CCN(CCCCCOC4=C5C(OC(C=C5C)=O)=CC(O)=C4)CC3)=O)S2)O1,7.13,45,0.2,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,8
CC(C)(C)C1=CN=C(CSC2=CN=C(NC(C3CCN(CCCCCOC4=C5C(OC(C=C5C)=O)=CC(O)=C4)CC3)=O)S2)O1,7.19,45,0.5,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,10
O=C(N(C)C)C(N1C2CCCC2)=CC3=C1N=C(NC4=CC=C(C(NCCCCCCNC5=C6C(C(N(C7C(NC(CC7)=O)=O)C6=O)=O)=CC=C5)=O)C=C4)N=C3,6.41,45,0.5,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,8
O=C(N(C)C)C(N1C2CCCC2)=CC3=C1N=C(NC4=CC=C(C(NCCCCCCNC5=C6C(C(N(C7C(NC(CC7)=O)=O)C6=O)=O)=CC=C5)=O)C=C4)N=C3,8.59,45,0.2,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,8
O=C(N(C)C)C(N1C2CCCC2)=CC3=C1N=C(NC4=CC=C(C(NCCCCCCNC5=C6C(C(N(C7C(NC(CC7)=O)=O)C6=O)=O)=CC=C5)=O)C=C4)N=C3,8.18,45,0.5,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,10
CC1=CC(C)=C(CNC(C2=C(C)C(N(CC)C3CCOCC3)=CC(C4=CC=C(CN5CCN(CCCCCCCOC6=C7C(C(N(C8C(NC(CC8)=O)=O)C7=O)=O)=CC=C6)CC5)C=C4)=C2)=O)C(N1)=O,4.9,45,0.5,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,8
CC1=CC(C)=C(CNC(C2=C(C)C(N(CC)C3CCOCC3)=CC(C4=CC=C(CN5CCN(CCCCCCCOC6=C7C(C(N(C8C(NC(CC8)=O)=O)C7=O)=O)=CC=C6)CC5)C=C4)=C2)=O)C(N1)=O,6.64,45,0.2,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,8
CC1=CC(C)=C(CNC(C2=C(C)C(N(CC)C3CCOCC3)=CC(C4=CC=C(CN5CCN(CCCCCCCOC6=C7C(C(N(C8C(NC(CC8)=O)=O)C7=O)=O)=CC=C6)CC5)C=C4)=C2)=O)C(N1)=O,6.87,45,0.5,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,10
O=C(N1C[C@H](O)C[C@H]1C(N[C@H](C2=CC=C(C3=C(C)N=CS3)C=C2)C)=O)[C@H](C(C)(C)C)NC(CCOCCCN4CCC[C@H]4COC(N=C5N6C[C@H]7N[C@H](CC7)C6)=N/C(C5=C)=C(F)/C(C8=CC(O)=CC9=CC=C(F)C(CC)=C98)=C/F)=O,5.58,45,0.5,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,8
O=C(N1C[C@H](O)C[C@H]1C(N[C@H](C2=CC=C(C3=C(C)N=CS3)C=C2)C)=O)[C@H](C(C)(C)C)NC(CCOCCCN4CCC[C@H]4COC(N=C5N6C[C@H]7N[C@H](CC7)C6)=N/C(C5=C)=C(F)/C(C8=CC(O)=CC9=CC=C(F)C(CC)=C98)=C/F)=O,7.42,45,0.2,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,8
O=C(N1C[C@H](O)C[C@H]1C(N[C@H](C2=CC=C(C3=C(C)N=CS3)C=C2)C)=O)[C@H](C(C)(C)C)NC(CCOCCCN4CCC[C@H]4COC(N=C5N6C[C@H]7N[C@H](CC7)C6)=N/C(C5=C)=C(F)/C(C8=CC(O)=CC9=CC=C(F)C(CC)=C98)=C/F)=O,6.8,45,0.5,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,10
NC1=C(C#N)C2=C(CCC[C@@]2(C3=NC(C4=NC(N([C@@H](C)C5)CCCN5CCCCCC(N[C@H](C(N6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)C(C)(C)C)=O)=NC=C4)=NO3)C)S1,4.74,45,0.5,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,8
NC1=C(C#N)C2=C(CCC[C@@]2(C3=NC(C4=NC(N([C@@H](C)C5)CCCN5CCCCCC(N[C@H](C(N6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)C(C)(C)C)=O)=NC=C4)=NO3)C)S1,6.55,45,0.2,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,8
NC1=C(C#N)C2=C(CCC[C@@]2(C3=NC(C4=NC(N([C@@H](C)C5)CCCN5CCCCCC(N[C@H](C(N6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)C(C)(C)C)=O)=NC=C4)=NO3)C)S1,7.48,45,0.5,1.8,2.1,100,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,2,95,10
