smiles,rt_min
ClC(C=C1)=CC=C1C2=N[C@@H](CC(NCCCCNC(COC3=CC=CC(C(N4C5C(NC(CC5)=O)=O)=O)=C3C4=O)=O)=O)C6=NN=C(C)N6C7C2C(C)=C(C)S7,7.11
ClC(C=C1)=CC=C1C2=N[C@@H](CC(NCCCCCCCCNC(COC3=CC=CC(C(N4C5C(NC(CC5)=O)=O)=O)=C3C4=O)=O)=O)C6=NN=C(C)N6C7C2C(C)=C(C)S7,7.93
ClC(C=C1)=CC=C1C2=N[C@@H](CC(NC3=CC=C(OCCOCCOCCOCCNC4=CC=CC(C(N5C6C(NC(CC6)=O)=O)=O)=C4C5=O)C=C3)=O)C7=NN=C(C)N7C8C2C(C)=C(C)S8,8.48
ClC(C=C1)=CC=C1C2=N[C@@H](CC(NCCCCCCCCNC3=CC=CC(C(N4C5C(NC(CC5)=O)=O)=O)=C3C4=O)=O)C6=NN=C(C)N6C7C2C(C)=C(C)S7,9
ClC(C=C1)=CC=C1C2=N[C@@H](CC(NCCOCCOCCNC3=CC=CC(C(N4C5C(NC(CC5)=O)=O)=O)=C3C4=O)=O)C6=NN=C(C)N6C7C2C(C)=C(C)S7,7.71
O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C(NCCCN(CC4)CCN4CCCNC(C[C@@H]5N=C(C6=CC=C(Cl)C=C6)C7C(SC(C)=C7C)N8C5=NN=C8C)=O)=CC=C3)=O,5.96
ClC(C=C1)=CC=C1C2=N[C@@H](CC(NCCOCCOCCOC(N[C@H](C(N3C[C@H](O)C[C@H]3C(NCC4=CC=C(C5=C(C)N=CS5)C=C4)=O)=O)C(C)(C)C)=O)=O)C6=NN=C(C)N6C7C2C(C)=C(C)S7,7.74
ClC(C=C1)=CC=C1C2=N[C@@H](CC(NCCCCCCC(N[C@H](C(N3C[C@H](O)C[C@H]3C(N[C@@H](C)C4=CC=C(C5=C(C)N=CS5)C=C4)=O)=O)C(C)(C)C)=O)=O)C6=NN=C(C)N6C7C2C(C)=C(C)S7,8.26
ClC(C=C1)=CC=C1C2=N[C@@H](CC(NCCOCCOCC(N[C@H](C(N3C[C@H](O)C[C@H]3C(N[C@@H](C)C4=CC=C(C5=C(C)N=CS5)C=C4)=O)=O)C(C)(C)C)=O)=O)C6=NN=C(C)N6C7C2C(C)=C(C)S7,8.11
ClC(C=C1)=CC=C1C2=N[C@@H](CC(NCCOCCCOCC(N[C@H](C(N3C[C@H](O)C[C@H]3C(N[C@@H](C)C4=CC=C(C5=C(C)N=CS5)C=C4)=O)=O)C(C)(C)C)=O)=O)C6=NN=C(C)N6C7C2C(C)=C(C)S7,8.09
CC(C)(C)[C@H](NC(CCN(CC1)CCN1C(C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C4C(SC(C)=C4C)N5C2=NN=C5C)=O)=O)C(N6C[C@H](O)C[C@H]6C(N[C@@H](C)C7=CC=C(C8=C(C)N=CS8)C=C7)=O)=O,6.39
ClC1=CC=CC(NC2=NC(C=C(C(NCCCCCCCCNC(COC3=CC=CC(C(N4C5C(NC(CC5)=O)=O)=O)=C3C4=O)=O)=O)C=C6)=C6C7=C2C=CN=C7)=C1,8.34
ClC1=CC=CC(NC2=NC(C=C(C(NCCCCCCCCCCNC(COC3=CC=CC(C(N4C5C(NC(CC5)=O)=O)=O)=C3C4=O)=O)=O)C=C6)=C6C7=C2C=CN=C7)=C1,8.97
ClC1=CC=CC(NC2=NC(C=C(C(NCCOCCOCCOCCNC(COC3=CC=CC(C(N4C5C(NC(CC5)=O)=O)=O)=C3C4=O)=O)=O)C=C6)=C6C7=C2C=CN=C7)=C1,7.02
ClC1=CC=CC(NC2=NC(C=C(C(NCCOCCOCCNC3=CC=CC(C(N4C5C(NC(CC5)=O)=O)=O)=C3C4=O)=O)C=C6)=C6C7=C2C=CN=C7)=C1,7.62
ClC1=CC=CC(NC2=NC(C=C(C(NCCCCCCNC3=CC=CC(C(N4C5C(NC(CC5)=O)=O)=O)=C3C4=O)=O)C=C6)=C6C7=C2C=CN=C7)=C1,8.86
ClC1=CC=CC(NC2=NC(C=C(C(NCCCCC(N[C@H](C(N3C[C@H](O)C[C@H]3C(N[C@@H](C)C4=CC=C(C5=C(C)N=CS5)C=C4)=O)=O)C(C)(C)C)=O)=O)C=C6)=C6C7=C2C=CN=C7)=C1,8.02
ClC1=CC=CC(NC2=NC(C=C(C(NCCCCCCC(N[C@H](C(N3C[C@H](O)C[C@H]3C(N[C@@H](C)C4=CC=C(C5=C(C)N=CS5)C=C4)=O)=O)C(C)(C)C)=O)=O)C=C6)=C6C7=C2C=CN=C7)=C1,8.52
ClC1=CC=CC(NC2=NC(C=C(C(NCCCOCC(N[C@H](C(N3C[C@H](O)C[C@H]3C(N[C@@H](C)C4=CC=C(C5=C(C)N=CS5)C=C4)=O)=O)C(C)(C)C)=O)=O)C=C6)=C6C7=C2C=CN=C7)=C1,8.17
ClC1=CC=CC(NC2=NC(C=C(C(N3CCN(CC(N[C@H](C(N4C[C@H](O)C[C@H]4C(N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)=O)=O)C(C)(C)C)=O)CC3)=O)C=C7)=C7C8=C2C=CN=C8)=C1,6.63
O=C1NN=C(CC2=CC=C(F)C(C(N3CCN(C(CCCCCCCCCCNC4=CC=CC(C(N5C6C(NC(CC6)=O)=O)=O)=C4C5=O)=O)CC3)=O)=C2)C7=CC=CC=C71,8.46
O=C1NN=C(CC2=CC=C(F)C(C(N3CCN(C(CCCCCCCCCCC(N[C@H](C(N4C[C@H](O)C[C@H]4C(N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)=O)=O)C(C)(C)C)=O)=O)CC3)=O)=C2)C7=CC=CC=C71,8.06
O=C1NN=C(CC2=CC=C(F)C(C(N3CCN(C(CCCCCCC(N[C@H](C(N4C[C@H](O)C[C@H]4C(N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)=O)=O)C(C)(C)C)=O)=O)CC3)=O)=C2)C7=CC=CC=C71,7.1
O=C1NN=C(CC2=CC=C(F)C(C(N3CCN(CC4=CN(CCCCC(N[C@H](C(N5C[C@H](O)C[C@H]5C(N[C@@H](C)C6=CC=C(C7=C(C)N=CS7)C=C6)=O)=O)C(C)(C)C)=O)N=N4)CC3)=O)=C2)C8=CC=CC=C81,5.57
O=C1NN=C(CC2=CC=C(F)C(C(N3CCN(C(CCCC4=CN(CCCCC(N[C@H](C(N5C[C@H](O)C[C@H]5C(N[C@@H](C)C6=CC=C(C7=C(C)N=CS7)C=C6)=O)=O)C(C)(C)C)=O)N=N4)=O)CC3)=O)=C2)C8=CC=CC=C81,6.48
FC1=C(OCC(NCCCCCCCCNC(COC2=CC=CC(C(N3C4C(NC(CC4)=O)=O)=O)=C2C3=O)=O)=O)C(C5=CSC(N6CCOCC6)=N5)=CC=C1F,8.11
FC1=C(OCC(NCCOCCOCCNC(COC2=CC=CC(C(N3C4C(NC(CC4)=O)=O)=O)=C2C3=O)=O)=O)C(C5=CSC(N6CCOCC6)=N5)=CC=C1F,6.88
FC1=C(OCC(NCCOCCOCCOCCNC(COC2=CC=CC(C(N3C4C(NC(CC4)=O)=O)=O)=C2C3=O)=O)=O)C(C5=CSC(N6CCOCC6)=N5)=CC=C1F,6.97
FC1=C(OCC(NCCCCCCNC2=CC=CC(C(N3C4C(NC(CC4)=O)=O)=O)=C2C3=O)=O)C(C5=CSC(N6CCOCC6)=N5)=CC=C1F,5.88
FC1=C(OCC(NCCCCCCCCNC2=CC=CC(C(N3C4C(NC(CC4)=O)=O)=O)=C2C3=O)=O)C(C5=CSC(N6CCOCC6)=N5)=CC=C1F,9.18
FC1=C(OCC(NCCOCCOCCNC2=CC=CC(C(N3C4C(NC(CC4)=O)=O)=O)=C2C3=O)=O)C(C5=CSC(N6CCOCC6)=N5)=CC=C1F,7.79
FC1=C(OCCOCCOCCNC2=CC=CC(C(N3C4C(NC(CC4)=O)=O)=O)=C2C3=O)C(C5=CSC(N6CCOCC6)=N5)=CC=C1F,8.83
FC1=C(OCC(NCCCCC(N[C@H](C(N2C[C@H](O)C[C@H]2C(N[C@@H](C)C3=CC=C(C4=C(C)N=CS4)C=C3)=O)=O)C(C)(C)C)=O)=O)C(C5=CSC(N6CCOCC6)=N5)=CC=C1F,7.96
FC1=C(OCC(N(C)CCCCC(N[C@H](C(N2C[C@H](O)C[C@H]2C(N[C@@H](C)C3=CC=C(C4=C(C)N=CS4)C=C3)=O)=O)C(C)(C)C)=O)=O)C(C5=CSC(N6CCOCC6)=N5)=CC=C1F,7.91
FC1=C(OCC(NCCCCCCC(N[C@H](C(N2C[C@H](O)C[C@H]2C(N[C@@H](C)C3=CC=C(C4=C(C)N=CS4)C=C3)=O)=O)C(C)(C)C)=O)=O)C(C5=CSC(N6CCOCC6)=N5)=CC=C1F,8.38
